transfer,hours_from_T0,delta_g,cumgen,is_sampled_transfer,measured_hours_per_transfer
0,0.0,,,0,26.385
1,0.12,0.5,0.5,0,26.385
2,26.54,1.3935,1.8935,0,26.385
3,53.05,3.1828,5.0762,1,26.385
4,79.69,3.9404,9.0167,1,26.385
5,106.36,3.7208,12.7375,0,26.385
6,132.83,3.4456,16.1831,1,26.385
7,159.27,3.472,19.6551,0,26.385
8,185.94,3.4641,23.1193,0,26.385
9,212.26,3.2915,26.4108,0,26.385
10,238.59,3.3182,29.729,0,26.385
11,264.93,3.2838,33.0128,0,26.385
12,291.27,3.3179,36.3306,0,26.385
13,317.6,3.2957,39.6263,1,26.385
14,343.84,3.032,42.6584,0,26.385
