series,transfer,reading,od,Condition,Microtiter_plate_well,background,datetime
exp2,0,12,0.884,Methoxybenzoate 4 mM + Kan,B4,0.0396944444444444,2026-04-09 17:19:10.698697
exp2,0,12,0.778,Methoxybenzoate 4 mM + Kan,B5,0.0396944444444444,2026-04-09 17:19:10.698697
exp2,0,12,0.904,Methoxybenzoate 4 mM + Kan,C4,0.0396944444444444,2026-04-09 17:19:10.698697
exp2,0,12,0.624,Methoxybenzoate 4 mM + Kan,C9,0.0396944444444444,2026-04-09 17:19:10.698697
exp2,0,12,0.919,Methoxybenzoate 4 mM + Kan,D4,0.0396944444444444,2026-04-09 17:19:10.698697
exp2,0,12,0.797,Methoxybenzoate 4 mM + Kan,D5,0.0396944444444444,2026-04-09 17:19:10.698697
exp2,0,12,0.449,Methoxybenzoate 4 mM + Kan,D9,0.0396944444444444,2026-04-09 17:19:10.698697
exp2,0,12,0.727,Methoxybenzoate 4 mM + Kan,D10,0.0396944444444444,2026-04-09 17:19:10.698697
exp2,0,12,0.905,Methoxybenzoate 4 mM + Kan,E4,0.0396944444444444,2026-04-09 17:19:10.698697
exp2,0,12,0.462,Methoxybenzoate 4 mM + Kan,E9,0.0396944444444444,2026-04-09 17:19:10.698697
exp2,0,12,0.932,Methoxybenzoate 4 mM + Kan,F4,0.0396944444444444,2026-04-09 17:19:10.698697
exp2,1,contam,0.038,Methoxybenzoate 4 mM + Kan,B4,0.0383888888888888,2026-04-09 17:26:27.174344
exp2,1,contam,0.04,Methoxybenzoate 4 mM + Kan,B5,0.0383888888888888,2026-04-09 17:26:27.174344
exp2,1,contam,0.037,Methoxybenzoate 4 mM + Kan,C4,0.0383888888888888,2026-04-09 17:26:27.174344
exp2,1,contam,0.039,Methoxybenzoate 4 mM + Kan,C9,0.0383888888888888,2026-04-09 17:26:27.174344
exp2,1,contam,0.036,Methoxybenzoate 4 mM + Kan,D4,0.0383888888888888,2026-04-09 17:26:27.174344
exp2,1,contam,0.037,Methoxybenzoate 4 mM + Kan,D5,0.0383888888888888,2026-04-09 17:26:27.174344
exp2,1,contam,0.036,Methoxybenzoate 4 mM + Kan,D9,0.0383888888888888,2026-04-09 17:26:27.174344
exp2,1,contam,0.036,Methoxybenzoate 4 mM + Kan,D10,0.0383888888888888,2026-04-09 17:26:27.174344
exp2,1,contam,0.037,Methoxybenzoate 4 mM + Kan,E4,0.0383888888888888,2026-04-09 17:26:27.174344
