Sample,DNA_construct,Replicate,Microtiter_plate_well,Transfer,verA,verB,Candidate,Count,depth,freq
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A115,B84,A115-B84,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A126,B137,A126-B137,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A132,B117,A132-B117,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A132,B15,A132-B15,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A132,B171,A132-B171,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A143,B145,A143-B145,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A143,B77,A143-B77,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A143,B8,A143-B8,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A143,B84,A143-B84,848,9625,0.0881038961038961
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A145,B30,A145-B30,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A146,B137,A146-B137,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A147,B6,A147-B6,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A149,B6,A149-B6,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A15,B84,A15-B84,2,9625,0.0002077922077922078
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A152,B100,A152-B100,33,9625,0.0034285714285714284
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A152,B110,A152-B110,13,9625,0.0013506493506493507
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A152,B126,A152-B126,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A152,B149,A152-B149,2,9625,0.0002077922077922078
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A152,B151,A152-B151,56,9625,0.005818181818181818
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A152,B9,A152-B9,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A153,B105,A153-B105,1,9625,0.0001038961038961039
