Sample,DNA_construct,Replicate,Candidate,verA,verB,n_obs_timepoints,transfers_observed,total_reads,logA_init,r_init_per_cycle,r_final_per_cycle,breakpoint_transfer,r_init_per_generation,r_final_per_generation,r_init_per_hour_measured,r_final_per_hour_measured,model_selected,direction,unconstrained_direction,breakpoint_testable,rel_rate_change,abs_rate_change,delta_bic,r2_selected,r2_constant,r2_two_phase,wrss_constant,wrss_two_phase,s_constant_per_cycle,freq_init,freq_final,estimable
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.1,concX_largeLib_SpeI_cleanup,1,A78-B79,A78,B79,4,"3,4,6,13",119,-0.0084,0.4838,0.4838,,0.1417,0.1417,0.01833,0.01833,constant,constant,accelerating,True,1.8138,1.2072,5.297,0.9796,0.9796,0.9962,3.3087,0.62234,0.4838,0.02564,0.59459,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.2,concX_largeLib_SpeI,2,A20-B66,A20,B66,4,"3,4,6,13",13,0.7962,0.0989,0.0989,,0.0286,0.0286,0.00375,0.00375,constant,constant,accelerating,True,1.2954,0.6144,3.788,0.7113,0.7113,0.9208,1.03208,0.28311,0.0989,0.02963,0.01667,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A81-B27,A81,B27,4,"3,4,6,13",138,3.2989,-0.2642,-0.2642,,-0.0765,-0.0765,-0.01001,-0.01001,constant,constant,accelerating,True,0.8321,0.4519,3.691,0.7872,0.7872,0.9402,5.07385,1.426,-0.2642,0.00966,0.0002,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.2,concX_largeLib_SpeI,2,A153-B30,A153,B30,4,"3,4,6,13",47,2.1227,0.0493,0.0493,,0.0143,0.0143,0.00187,0.00187,constant,constant,accelerating,True,2.6408,0.1379,0.884,0.5911,0.5911,0.7682,1.17011,0.66333,0.0493,0.08889,0.04167,True
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,concY_largeLib_PCR_DpnI_cleanup,3,A81-B117,A81,B117,4,"3,4,6,13",7,0.0587,0.1135,0.1135,,0.0331,0.0331,0.0043,0.0043,constant,constant,accelerating,True,4.1751,0.2146,0.269,0.7868,0.7868,0.859,0.59377,0.39254,0.1135,0.00633,0.01863,True
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,concY_largeLib_PCR_DpnI_cleanup,3,A63-B6,A63,B6,4,"3,4,6,13",37,1.4173,0.1307,0.1307,,0.0382,0.0382,0.00495,0.00495,constant,constant,accelerating,True,2.9066,0.2165,0.201,0.9533,0.9533,0.9686,0.58995,0.39667,0.1307,0.0443,0.09317,True
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,concY_largeLib_PCR_DpnI_cleanup,2,A20-B84,A20,B84,4,"3,4,6,13",23,1.6056,-0.0941,-0.0941,,-0.0271,-0.0271,-0.00357,-0.00357,constant,constant,accelerating,True,0.9276,0.4613,-0.195,0.3026,0.3026,0.4823,3.06331,2.27415,-0.0941,0.07576,0.00476,True
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,concX_smallLib_PCR_DpnI_cleanup,3,A83-B151,A83,B151,4,"3,4,6,13",147,3.0794,-0.0445,-0.0445,,-0.0129,-0.0129,-0.00169,-0.00169,constant,constant,decelerating,True,1.0381,0.2029,-1.08,0.1158,0.1158,0.1811,27.01534,25.02256,-0.0445,0.24752,0.13298,True
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,concY_largeLib_PCR_DpnI_cleanup,3,A83-B84,A83,B84,4,"3,4,6,13",15,0.9987,0.0458,0.0458,,0.0135,0.0135,0.00173,0.00173,constant,constant,decelerating,True,1.8554,0.0928,-1.241,0.198,0.198,0.2266,2.22227,2.14299,0.0458,0.01266,0.02484,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.1,concX_largeLib_SpeI_cleanup,1,A78-B122,A78,B122,4,"3,4,6,13",22,1.5061,-0.0524,-0.0524,,-0.0149,-0.0149,-0.00198,-0.00198,constant,constant,decelerating,True,0.9923,0.1889,-1.25,0.0785,0.0785,0.1093,6.26717,6.05792,-0.0524,0.03419,0.01081,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A90-B151,A90,B151,4,"3,4,6,13",132,3.2581,-0.2766,-0.2766,,-0.0776,-0.0776,-0.01048,-0.01048,constant,constant,decelerating,True,0.2272,0.072,-1.299,0.7717,0.7717,0.7766,4.01762,3.93052,-0.2766,0.00842,0.0001,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A78-B77,A78,B77,4,"3,4,6,13",1820,5.8361,-0.2024,-0.2024,,-0.0576,-0.0576,-0.00767,-0.00767,constant,constant,decelerating,True,0.199,0.0461,-1.356,0.7042,0.7042,0.7064,68.44664,67.93843,-0.2024,0.11106,0.00372,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A78-B151,A78,B151,4,"3,4,6,13",621,4.7179,-0.1298,-0.1298,,-0.0373,-0.0373,-0.00492,-0.00492,constant,constant,decelerating,True,0.2811,0.0451,-1.359,0.6169,0.6169,0.6195,25.21893,25.04973,-0.1298,0.03636,0.00245,True
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,concY_largeLib_PCR_DpnI_cleanup,3,A196-B51,A196,B51,4,"3,4,6,13",30,2.0162,-0.0541,-0.0541,,-0.0154,-0.0154,-0.00205,-0.00205,constant,constant,decelerating,True,0.2373,0.0156,-1.384,0.0943,0.0943,0.0948,8.81784,8.81362,-0.0541,0.01899,0.02484,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A143-B8,A143,B8,2,"3,13",2,-0.9266,0.1539,0.1539,,0.0446,0.0446,0.00583,0.00583,constant,constant,none,False,,,,0.8478,0.8478,,0.35169,,0.1539,0.0001,0.0001,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A143-B84,A143,B84,4,"3,4,6,13",4142,6.3148,0.1071,0.1071,,0.0316,0.0316,0.00406,0.00406,constant,constant,decelerating,True,,,,0.4818,0.4818,,938.92093,,0.1071,0.0881,0.12304,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A143-B92,A143,B92,2,"4,13",3,-0.9331,0.2078,0.2078,,0.0612,0.0612,0.00787,0.00787,constant,constant,none,False,,,,0.8776,0.8776,,0.59785,,0.2078,0.0,0.0002,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A15-B84,A15,B84,3,"3,4,13",4,-0.3571,0.094,0.094,,0.0272,0.0272,0.00356,0.00356,constant,constant,none,False,,,,0.9357,0.9357,,0.06186,,0.094,0.00021,0.0001,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A152-B100,A152,B100,3,"3,4,13",92,2.8174,-0.0403,-0.0403,,-0.0106,-0.0106,-0.00153,-0.00153,constant,constant,none,False,,,,0.0504,0.0504,,19.25808,,-0.0403,0.00343,0.00069,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A152-B110,A152,B110,2,"3,4",17,1.2925,-0.2347,-0.2347,,-0.0689,-0.0689,-0.00889,-0.00889,constant,constant,none,False,,,,0.6895,0.6895,,1.30557,,-0.2347,0.00135,0.0,True
