version,Sample,Candidate,verA,verB,breakpoint_transfer,r_init_per_cycle,r_final_per_cycle,rel_rate_change,delta_bic,r2_constant,r2_two_phase
barcode,TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,A186-B26,A186,B26,4.0,-0.1593,-0.019,0.8808,33.672,0.7538,1.0
barcode,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,A78-B26,A78,B26,6.0,-0.2989,0.446,2.4921,18.154,0.9239,0.9994
barcode,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,A81-B30,A81,B30,6.0,-0.1758,0.2587,2.4711,16.674,0.8738,0.9986
barcode,TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,A78-B3,A78,B3,6.0,-0.3137,0.1512,1.482,16.172,0.1353,0.9893
barcode,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,A81-B151,A81,B151,6.0,-0.2161,0.5103,3.3618,15.864,0.9596,0.9995
barcode,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,A78-B3,A78,B3,6.0,0.1487,0.4626,2.1114,14.967,0.9906,0.9998
barcode,TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,A81-B51,A81,B51,6.0,-0.2454,0.3469,2.4131,11.297,0.8979,0.9957
barcode,TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,A83-B40,A83,B40,6.0,-0.0452,0.7189,15.2829,9.414,0.9783,0.9985
barcode,TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,A153-B6,A153,B6,6.0,-0.4722,0.4434,1.9388,8.899,0.8016,0.9848
barcode,TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.1,A81-B26,A81,B26,4.0,-0.3167,0.0112,1.0354,8.694,0.084,0.9263
barcode,TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,A185-B26,A185,B26,4.0,-0.881,0.2112,1.2397,7.505,0.7778,0.9759
barcode,TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,A20-B6,A20,B6,4.0,-0.7116,-0.0057,0.9921,6.953,0.352,0.9194
barcode,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.2,A78-B26,A78,B26,6.0,-0.0112,0.3412,7.048,6.508,0.9693,0.9957
integrated,TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,A186-B26,A186,B26,4.0,-0.1593,-0.019,0.8808,33.672,0.7538,1.0
integrated,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,A78-B26,A78,B26,6.0,-0.2989,0.446,2.4921,18.154,0.9239,0.9994
integrated,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,A81-B30,A81,B30,6.0,-0.1758,0.2587,2.4711,16.674,0.8738,0.9986
integrated,TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,A78-B3,A78,B3,6.0,-0.3137,0.1512,1.482,16.172,0.1353,0.9893
integrated,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,A81-B151,A81,B151,6.0,-0.2161,0.5103,3.3618,15.864,0.9596,0.9995
integrated,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,A81-B132,A81,B132,6.0,-0.7667,0.3558,1.464,15.113,0.0889,0.9853
integrated,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,A78-B3,A78,B3,6.0,0.1487,0.4626,2.1114,14.967,0.9906,0.9998
integrated,TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,A81-B51,A81,B51,6.0,-0.2454,0.3469,2.4131,11.297,0.8979,0.9957
integrated,TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,A83-B40,A83,B40,6.0,-0.0452,0.7189,15.2829,9.414,0.9783,0.9985
integrated,TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,A153-B6,A153,B6,6.0,-0.4722,0.4434,1.9388,8.899,0.8016,0.9848
integrated,TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.1,A81-B26,A81,B26,4.0,-0.3167,0.0112,1.0354,8.694,0.084,0.9263
integrated,TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,A185-B26,A185,B26,4.0,-0.881,0.2112,1.2397,7.505,0.7778,0.9759
integrated,TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,A20-B6,A20,B6,4.0,-0.7116,-0.0057,0.9921,6.953,0.352,0.9194
integrated,TFMN4.exp2.ACN3788.concX_largeLib_SpeI.2,A78-B26,A78,B26,6.0,-0.0112,0.3412,7.048,6.508,0.9693,0.9957
