sample_name,A143-B84,A153-B30,A153-B6,A186-B79,A196-B117,A196-B15,A196-B171,A196-B2,A196-B27,A196-B59,A196-B87,A78-B137,A78-B151,A78-B77,A78-B84,A81-B132,A81-B27,A81-B75,A81-B8,Other
B4_3M_bcfr,375,49,36,16,257,49,62,38,106,120,276,230,151,475,61,78,33,17,1010,490
B4_3M_fbcr,383,61,64,20,281,52,101,60,146,162,366,355,161,513,81,101,47,24,1081,631
B4_3M_fr,87,8,7,2,39,12,16,6,31,31,82,39,27,74,15,35,9,8,246,149
B4_3p_bcfr,132,94,69,127,163,60,101,64,101,163,298,97,193,125,116,153,125,119,248,1443
B4_3p_fbcr,145,98,87,86,160,66,141,89,129,210,393,152,225,141,140,189,133,110,300,1641
B4_3p_fr,20,13,7,11,3,11,13,10,14,15,43,6,15,12,9,18,14,7,23,126
B4_4M_bcfr,845,42,30,10,236,29,60,32,84,124,226,159,96,319,39,31,20,14,1452,321
B4_4M_fbcr,720,35,27,13,225,19,61,38,72,126,248,152,85,247,44,29,12,9,1377,321
B4_4M_fr,446,17,11,4,113,10,19,12,39,67,157,66,53,119,26,12,10,11,876,186
B4_4p_bcfr,293,71,51,59,370,58,80,68,124,247,335,163,163,343,104,73,39,52,800,780
B4_4p_fbcr,271,78,74,41,405,73,116,102,162,318,518,206,146,323,125,84,53,53,809,842
B4_4p_fr,47,17,9,1,26,6,13,12,19,41,78,18,18,31,21,9,6,5,116,105
B4_13M_bcfr,442,0,0,759,1,0,0,0,0,1,0,0,15,13,1,20,1,0,2533,60
B4_13M_fbcr,611,0,2,813,2,0,2,0,0,1,6,0,6,18,0,31,1,0,3161,82
B4_13M_fr,201,1,0,256,0,0,0,0,0,0,1,0,3,5,1,14,0,0,1030,24
B4_13p_bcfr,131,0,0,257,7,0,0,1,2,0,12,0,29,60,0,13,0,0,2983,56
B4_13p_fbcr,149,1,2,244,11,0,2,0,1,1,8,3,25,86,0,23,0,0,3948,82
B4_13p_fr,41,0,0,34,0,0,0,0,1,0,1,0,7,31,0,11,0,0,1190,23
