allele_kind,allele,marginal_s_per_cycle,marginal_s_per_generation,se,n_pairs,n_samples,drift_null_p,exceeds_drift_null,robust_selection,R_allele_OD_clock_per_h,R_allele_lo,R_allele_hi,correction_frac_of_mubulk,flag_anchor_is_community_level,flag_correction_is_few_pct_of_mubulk,flag_OD_not_biomass,flag_derived_not_measured
verA,A185,0.1459437870601523,0.0422,0.0551509306354798,1,2,0.0333333333333333,True,False,0.3257,0.3132,0.3382,0.066,True,True,True,True
verA,A90,0.1044540829656415,0.0302,0.0153839190708488,17,11,0.0,True,True,0.3199,0.3074,0.3324,0.047,True,True,True,True
verA,A78,0.0608215361614271,0.0176,0.0099297354037539,32,11,0.01,True,True,0.3139,0.3014,0.3264,0.027,True,True,True,True
verA,A81,0.0196200170399831,0.0057,0.006516873755961,43,11,0.64,False,False,0.3082,0.2957,0.3207,0.009,True,True,True,True
verA,A63,0.0193892053286343,0.0056,0.0074414802179268,7,8,0.76,False,False,0.3082,0.2957,0.3207,0.009,True,True,True,True
verA,A20,0.011778586066251,0.0034,0.0214164371732256,10,8,0.5966666666666667,False,False,0.3071,0.2946,0.3196,0.005,True,True,True,True
verA,A176,0.0061638930073669,0.0018,0.0091356422061573,7,10,0.94,False,False,0.3064,0.2939,0.3189,0.003,True,True,True,True
verA,A153,0.0036666113091894,0.0011,0.0188048980166842,14,10,0.9,False,False,0.306,0.2935,0.3185,0.002,True,True,True,True
verA,A152,-0.0080027730019894,-0.0023,0.008698759371751,7,6,0.9033333333333332,False,False,0.3044,0.2919,0.3169,0.004,True,True,True,True
verA,A186,-0.0201841897957701,-0.0058,0.0111206162138348,10,7,0.6733333333333333,False,False,0.3027,0.2902,0.3152,0.009,True,True,True,True
verA,A83,-0.029922414095619,-0.0087,0.0160232134470433,16,11,0.1633333333333333,False,False,0.3014,0.2889,0.3139,0.014,True,True,True,True
verA,A16,-0.0344959387460299,-0.01,0.0162737504222681,8,5,0.6933333333333334,False,False,0.3007,0.2882,0.3132,0.016,True,True,True,True
