Candidate,concX_largeLib_SpeI.1,concX_largeLib_SpeI.2,concX_largeLib_SpeI.3,concX_largeLib_SpeI.4,concX_largeLib_SpeI.5,concX_largeLib_SpeI_cleanup.1,concX_largeLib_SpeI_cleanup.3,concX_smallLib_PCR_DpnI_cleanup.3,concY_largeLib_PCR_DpnI_cleanup.2,concY_largeLib_PCR_DpnI_cleanup.3,concY_largeLib_PCR_DpnI_cleanup.4
A153-B30,-0.0442889203746765,0.0492663384614613,,-0.0432284114589304,-0.2214667192434977,,0.0073782086197356,,,,
A81-B30,,,,0.148481171761522,-0.1883114322000307,,-0.0890414960588229,,,,-0.0447000468989476
A83-B151,,-0.1569526029128843,,-0.0948113157439772,-0.0160678187780115,,,-0.0445359256122142,,,
A78-B3,,,,0.396271193100921,,,,0.0285482211234032,,-0.0263795563428815,
A83-B40,,,,-0.1688303831407358,,-0.1765353898629561,,,0.5570387051180263,,
A196-B117,0.0530939579337331,,,,0.0174180554949983,,,,,,0.0756523074135306
A153-B77,,,,,-0.0758726502824496,0.0041626741735594,,0.121088825471252,,,
A78-B117,,,,,,0.0286326102454317,0.0601530010751049,,,,-0.1028994217478245
A153-B6,-0.0925836836479585,,,,,,,,,0.2036195783052704,-0.1450801470128388
A78-B137,-0.1690461615910191,-0.0560475653370581,,,,,,,,0.0822531563932115,
A196-B171,0.0274450033072436,,,,,,,,,-0.0580475638684635,-0.2177532151498923
A90-B75,,-0.1620801606307433,,-0.142726746995079,,,-0.0392064306796948,,,,
A196-B15,,-0.0900143143185477,,,,,,,-0.2039073310962359,-0.0654107760467299,
A78-B75,,-0.1988532466054336,,,-0.1021846275697737,,,,-0.0587987039716815,,
A196-B151,,,,0.6679040438962488,,,,,0.0244474110164956,,
A78-B26,,0.2613795529537483,,0.2558782328453031,,,,,,,
A81-B6,,,,,,,0.1988286961849876,,,0.2736390208170559,
A176-B30,,,,,,,0.153120441720884,,,,0.1042037920120352
A196-B2,0.1711968421801554,,,,,,,,,0.0201744758507175,
A186-B79,0.2004756255848234,,,,,-0.0647983279292019,,,,,
A81-B117,,,,,,,,,,0.1135219075889298,0.0077261573259132
A196-B119,,,,0.0025915398917432,,,,,0.0891781694359998,,
A83-B84,,0.0274991380852795,,,,,,,,0.0457638454906232,
A83-B101,,,,,,0.0042201666362214,,,,,0.0281061770792497
A143-B84,0.0278245303389615,,,,,,-0.0027369077924971,,,,
A196-B87,0.0178302717159242,,,,,,,,,-0.0211427354752315,
A81-B132,0.0449756893632611,,,,,,,,,-0.0536232661705125,
A196-B4,,,,,,,,,,-0.2214823730480077,0.1976724139670392
A20-B151,,,0.0261353221347394,-0.0676914409849336,,,,,,,
A16-B117,,,,,,,,,0.0126722675507046,-0.0690542030575466,
A16-B154,,,,,,-0.0470766013186995,,,,-0.0120439617989407,
A81-B84,-0.0085044233859032,,,-0.0676538618194194,,,,,,,
A78-B77,-0.0043384019911404,,,,-0.0857623205167779,,,,,,
A81-B18,-0.0616756030651456,,,,,,,,,,-0.0401827363447371
A78-B70,-0.0857015674779726,,,,,,,,,,-0.0173614604687442
A83-B50,,,,,,-0.0885159475739886,-0.0147131664969895,,,,
A81-B51,,,,,,-0.3066299701773967,,0.2032675846372869,,,
A81-B145,,,,,-0.1460500170489173,,,,0.028257369715744,,
A196-B136,,,,,,,,,,-0.0347863588202889,-0.0913186206628319
A78-B30,,,,,-0.3267042456709066,0.1752604676361664,,,,,
A143-B117,,,,,,-0.0366931738971211,,,,-0.1281612462987529,
A196-B79,,,,,,,,,,-0.040768267818479,-0.1394335550491302
A152-B154,,,,,,,,-0.0791782623515448,,,-0.1145221594517712
A196-B123,,-0.181455543945938,,,,,,,,-0.0257343164852866,
A96-B79,,,,,,,,,-0.1211704304303214,,-0.0972121190075139
A196-B27,-0.0396384807590923,,,,,,,,,-0.1888207941977709,
A81-B177,,,,-0.1542835259462076,,-0.0884569887471084,,,,,
A196-B52,,,,,,,,,-0.0370730584814403,-0.2340389447142799,
A196-B75,,,,,,,,,,-0.1529884786844009,-0.1389500863032474
A152-B151,,,,,,,,,,-0.2543140332541361,-0.1180846514097051
A78-B171,-0.1314737119243208,,,-0.3722037076011372,,,,,,,
A78-B79,,,,,,0.4838173846865996,,,,,
A81-B151,,,,0.3312106775832744,,,,,,,
A81-B2,,,,,,,,,0.2301782009288595,,
A90-B26,,,,,,,,,0.2298387438257732,,
A90-B3,,,,,,,,,0.2162855110338872,,
A81-B8,0.2115333834819493,,,,,,,,,,
A90-B18,,,,,,,,,,0.2013191098581196,
A90-B108,,,0.1989880249074961,,,,,,,,
A83-B42,,,,,0.1683365280389203,,,,,,
A81-B174,,0.1656625384588337,,,,,,,,,
A185-B26,,,,,,,,0.1459437870601523,,,
A63-B6,,,,,,,,,,0.1306728234444987,
A186-B78,0.1256401323595441,,,,,,,,,,
A78-B2,,,,0.1149905976121792,,,,,,,
A83-B138,,,,,,,,,,0.1047713667991255,
A196-B18,,0.1003585588001011,,,,,,,,,
A20-B66,,0.0989493162595013,,,,,,,,,
A90-B123,,,,,,,0.0701987161320752,,,,
A196-B168,,,,,,,,0.0532487698891436,,,
A196-B145,,,,0.04383131572314,,,,,,,
A81-B47,,,,,,0.043406107687256,,,,,
A81-B120,,,,0.041330027714582,,,,,,,
A90-B70,,,,,,0.0358943923144119,,,,,
A20-B95,,,,,,,,0.0268534484618332,,,
A78-B159,,,,,,,,,,0.0172841642885029,
A176-B120,,,,,,0.0165963331276911,,,,,
A16-B137,,,,,,,,,,0.0109619198741556,
A96-B26,,,,,,,,0.0095595081266934,,,
A63-B40,,,,,,,,0.0086576407418381,,,
A20-B71,,,,,,,,,,0.0083864094448974,
A152-B171,,,,,,,,,,,0.0077261573259132
A176-B101,,,,,,,,,,,0.0077261573259132
A196-B38,,,,,,,,,-0.0064926699076598,,
A153-B137,,,,,,,,-0.0091997762115506,,,
A186-B117,,,,,,,,,-0.0101683812046037,,
A81-B26,,,,,,-0.0136337927769217,,,,,
