level,allele,n_variants,n_testable,n_accelerating,frac_of_testable_accelerating,mean_acceleration,mean_r_init_adopted,mean_r_final_adopted,modal_breakpoint
verA,A78,32,13,4,0.3077,0.469,-0.1188,0.3503,6.0
verA,A81,43,13,4,0.3077,0.5203,-0.2385,0.2818,6.0
verA,A153,14,7,1,0.1429,0.9156,-0.4722,0.4434,6.0
verA,A83,16,7,1,0.1429,0.7641,-0.0452,0.7189,6.0
verA,A20,10,5,1,0.2,0.7059,-0.7116,-0.0057,4.0
verA,A186,10,2,1,0.5,0.1403,-0.1593,-0.019,4.0
verA,A185,1,1,1,1.0,1.0922,-0.881,0.2112,4.0
verA,A196,50,10,0,0.0,,,,
verA,A63,7,2,0,0.0,,,,
verA,A90,17,2,0,0.0,,,,
verA,A143,7,1,0,0.0,,,,
verA,A16,8,1,0,0.0,,,,
verA,A176,7,1,0,0.0,,,,
verA,A21,1,1,0,0.0,,,,
verA,A152,7,0,0,,,,,
verA,A96,7,0,0,,,,,
verB,B26,7,5,5,1.0,0.5315,-0.3334,0.1981,4.0
verB,B6,11,6,2,0.3333,0.8107,-0.5919,0.2189,4.0
verB,B3,5,3,2,0.6667,0.3893,-0.0825,0.3069,6.0
verB,B151,15,6,1,0.1667,0.7264,-0.2161,0.5103,6.0
verB,B30,13,5,1,0.2,0.4345,-0.1758,0.2587,6.0
verB,B40,6,3,1,0.3333,0.7641,-0.0452,0.7189,6.0
verB,B51,4,2,1,0.5,0.5923,-0.2454,0.3469,6.0
verB,B84,11,4,0,0.0,,,,
verB,B117,15,3,0,0.0,,,,
verB,B137,7,3,0,0.0,,,,
verB,B2,5,3,0,0.0,,,,
verB,B77,5,3,0,0.0,,,,
verB,B120,3,2,0,0.0,,,,
verB,B79,8,2,0,0.0,,,,
verB,B87,4,2,0,0.0,,,,
verB,B101,5,1,0,0.0,,,,
verB,B108,1,1,0,0.0,,,,
verB,B11,1,1,0,0.0,,,,
verB,B122,1,1,0,0.0,,,,
verB,B132,3,1,0,0.0,,,,
verB,B168,1,1,0,0.0,,,,
verB,B174,2,1,0,0.0,,,,
verB,B38,1,1,0,0.0,,,,
verB,B4,2,1,0,0.0,,,,
verB,B42,1,1,0,0.0,,,,
verB,B66,2,1,0,0.0,,,,
verB,B71,1,1,0,0.0,,,,
verB,B75,11,1,0,0.0,,,,
verB,B8,1,1,0,0.0,,,,
verB,B100,1,0,0,,,,,
verB,B103,1,0,0,,,,,
verB,B119,2,0,0,,,,,
verB,B123,5,0,0,,,,,
verB,B126,1,0,0,,,,,
verB,B127,1,0,0,,,,,
verB,B13,1,0,0,,,,,
verB,B136,3,0,0,,,,,
verB,B138,1,0,0,,,,,
verB,B140,3,0,0,,,,,
verB,B145,4,0,0,,,,,
verB,B147,1,0,0,,,,,
verB,B15,3,0,0,,,,,
verB,B150,1,0,0,,,,,
verB,B152,1,0,0,,,,,
verB,B154,4,0,0,,,,,
verB,B155,1,0,0,,,,,
verB,B159,1,0,0,,,,,
verB,B165,2,0,0,,,,,
verB,B171,9,0,0,,,,,
verB,B177,2,0,0,,,,,
verB,B18,6,0,0,,,,,
verB,B27,5,0,0,,,,,
verB,B32,1,0,0,,,,,
verB,B41,1,0,0,,,,,
verB,B46,1,0,0,,,,,
verB,B47,3,0,0,,,,,
verB,B50,2,0,0,,,,,
verB,B52,2,0,0,,,,,
verB,B59,3,0,0,,,,,
verB,B61,1,0,0,,,,,
verB,B65,1,0,0,,,,,
verB,B70,5,0,0,,,,,
verB,B78,1,0,0,,,,,
verB,B85,1,0,0,,,,,
verB,B9,1,0,0,,,,,
verB,B91,1,0,0,,,,,
verB,B95,1,0,0,,,,,
verB,B98,1,0,0,,,,,
