allele,marginal_s_per_cycle,se,n_pairs,n_samples,sweep_wins,drift_null_p,null_lo,null_hi,exceeds_drift_null,robust_selection
B79,0.511846272734642,0.008671766543740399,5,3,0,0.0,-0.02654787000023991,0.02360309459676941,True,True
B3,0.1714602809215805,0.02848085047072604,3,3,0,0.01,-0.12078841666922915,0.09448090372325935,True,False
B8,0.1531215247372171,0.013967952440632673,10,3,0,0.0,-0.10614711988881785,0.07147447510638519,True,True
B132,0.036564650555212894,0.0448892931168576,3,3,0,0.0033333333333333335,-0.026543965698181637,0.02450819835121867,True,False
B150,0.028780341266270684,0.06083419752596302,5,3,0,0.6066666666666667,-0.1534732516287245,0.08784749467310958,False,False
B109,0.027595634075318298,0.0756431513010247,1,2,0,0.65,-0.17760095237985335,0.12113287558634062,False,False
B117,0.01788575845266065,0.07158431702916702,4,3,0,0.7566666666666667,-0.1534339369350327,0.14271984182149194,False,False
B119,0.0002920981214309581,0.027773164081630827,3,3,0,0.9966666666666667,-0.15119134137549417,0.12784065838401473,False,False
B178,-0.007963382821184903,0.010120169942085873,2,3,0,0.9166666666666666,-0.18908962112233996,0.1587311582355066,False,False
B24,-0.008282304872775948,0.0203514776764308,2,2,0,0.9133333333333333,-0.17516380647542856,0.15218307090857813,False,False
B47,-0.009553434600681048,0.0449456853913404,3,3,0,0.8766666666666667,-0.16157915518531873,0.1471428868774957,False,False
B85,-0.0110820127039746,0.0211306193226999,1,3,0,0.8933333333333333,-0.17046006296336952,0.17273799497237602,False,False
B86,-0.0110820127039746,0.0211306193226999,1,1,0,0.8966666666666666,-0.18438253313437833,0.1465707348448305,False,False
B100,-0.015055269559754619,0.07909341230441692,3,3,0,0.5866666666666667,-0.0642671532741223,0.04756643195404129,False,False
B91,-0.0385078793565229,0.0372879024201435,1,2,0,0.59,-0.19311926316467912,0.1278458654102008,False,False
B87,-0.041564406730332085,0.01607990277928547,6,3,0,0.5666666666666667,-0.13456995800902238,0.11373055939196282,False,False
B171,-0.04339280831624133,0.011559902929667682,8,3,0,0.5433333333333333,-0.1767400682932061,0.0968309108160132,False,False
B103,-0.048061759982305045,0.08403037746931823,2,3,0,0.43333333333333335,-0.1580121691795403,0.08641915698369676,False,False
B75,-0.0481136142557269,0.010486100613124856,7,3,0,0.44666666666666666,-0.14214135835846123,0.0868587847536604,False,False
B154,-0.05768676771925596,0.05777469372454129,2,2,0,0.37,-0.15267832972499448,0.09450928966587527,False,False
B59,-0.06166356840935355,0.06128988033198155,5,3,0,0.36,-0.15350911141076748,0.12324925354264699,False,False
B12,-0.0629707460845851,0.06591069698029256,2,3,0,0.36666666666666664,-0.16698653139912567,0.12073558352133913,False,False
B42,-0.0629707460845851,0.06591069698029256,2,2,0,0.37333333333333335,-0.16580496002838957,0.13130320809294355,False,False
B142,-0.0651113405005432,0.0822667901765021,1,2,0,0.37666666666666665,-0.19393844615518555,0.11559969268444259,False,False
B110,-0.07477591872593309,0.024421573974891902,2,3,0,0.28,-0.1720254316144115,0.13609660107396718,False,False
B70,-0.07646237771417709,0.022626715659638273,3,3,0,0.18,-0.10637606976145574,0.08813422098813062,False,False
B50,-0.07654204993550108,0.07725405887781882,3,3,0,0.27,-0.11917131045915404,0.10137824983011345,False,False
B151,-0.08411893814381091,0.002265485041768318,12,3,0,0.0,-0.030819352853297868,0.023885357224186964,True,True
B123,-0.08646371937868529,0.05076595714637612,2,3,0,0.05,-0.08720443396649287,0.08281126709622032,False,False
