Candidate,B4_M_bcfr,B4_M_fbcr,B4_M_fr
A186-B79,0.1669328158464997,0.1618904999610659,0.1807550803022033
A81-B8,0.0647313734366562,0.0707370120543308,0.060449526719446
A81-B3,0.0340700438354395,0.0555438884449367,0.0286157145991901
A143-B84,0.0313515419675995,0.0432634814133376,0.0306781956028949
A196-B117,-0.0056872024119989,-0.0119702364802665,0.0532089211912647
A81-B132,0.0057426978863427,0.0133164886078243,0.0138330588404368
A152-B100,-0.0041152138949629,-0.0082508869482334,0.0067096326605064
A90-B47,-0.0064215141111939,-0.0099407228290718,-0.0006558962566685
A196-B59,-0.0126329400292271,-0.0167585820253936,0.0047061677881177
A78-B171,-0.0138553382497038,-0.0206324066867788,-0.0047503401251837
A196-B87,0.0045489210771484,-0.0415470715547942,-0.012742087173901
A196-B150,-0.0180558621592705,-0.0191485466711208,-0.0213158073415758
A159-B77,-0.0299371806955995,-0.0205964501892777,-0.0115834802899591
A83-B50,-0.0542204731781374,0.0013538331149013,-0.0115834802899591
A90-B119,-0.0525859875097292,-0.0205964501892777,0.003811102322293
A196-B8,-0.0348676504895416,-0.0218804772273688,-0.0216408180659184
A78-B151,-0.023792788604171,-0.0456517723801807,-0.0238512631312066
A153-B30,-0.0293326918885434,-0.0507657080036651,-0.0179030503516744
A63-B151,-0.04987277552213,-0.0187847238955812,-0.0333541957380692
A78-B70,-0.0513552762343055,-0.0545842827219202,0.003811102322293
A196-B2,-0.0356821952644821,-0.0393860568370475,-0.0298895351712712
A196-B30,-0.0314174442390319,-0.0352940487787407,-0.0387261955694919
A81-B51,-0.0372671943540495,-0.0381825881125504,-0.0308382332181713
A196-B171,-0.0076371311092838,-0.0481139004700812,-0.0553226497562237
A78-B137,-0.0311188563129682,-0.0775346923053762,-0.0158997799642497
A153-B6,-0.0374497785324908,-0.0518030391613465,-0.0365566261448796
A81-B84,-0.0373436347791089,-0.072392810347224,-0.0227453101852262
A196-B122,-0.0410772879712115,-0.0680075378356999,-0.0261615579968955
A78-B77,-0.0520203615436811,-0.0507110004920375,-0.0342257451574196
A196-B27,-0.0230479707952929,-0.0618958610241836,-0.0520343636548508
A78-B84,-0.0563487344945032,-0.0545519921113908,-0.0293270450234691
A81-B75,-0.04148382229105,-0.0721103857558267,-0.0415545085127194
A90-B151,-0.0352124183775346,-0.0724847592375841,-0.0501598698762795
A81-B27,-0.046368544825312,-0.0669112452879248,-0.0491426644147293
A81-B140,-0.0701484037174748,-0.0537488927706339,-0.0414218087501771
A90-B145,-0.0778690787344786,-0.0540724567798272,-0.041598130130069
A90-B120,-0.0518661960111616,-0.084700669449282,-0.0491426644147293
A152-B151,-0.0865610863108629,-0.0577111242073801,-0.0700379276040322
A81-B18,-0.1033430505268435,-0.0575351804018303,-0.0569560010315822
A196-B15,-0.0691689643441837,-0.0921345564592587,-0.0639758196134498
A90-B155,-0.081148083229073,-0.1104347085058022,-0.0552451624446339
A65-B8,,0.0766808331483007,0.0325644992023165
A78-B150,0.0215844605187653,0.0034825318035032,
A159-B24,-0.0036618537685597,0.0094959905210868,
A196-B6,-0.0076727334851525,0.0034825318035032,
A96-B140,-0.0064215141111939,,-0.0006558962566685
A81-B171,,-0.0122332768022223,0.003811102322293
A196-B75,-0.0036618537685597,-0.0063878154129371,
A78-B103,0.0033628806982519,-0.0210949550130155,
A186-B30,-0.0271592864595382,,0.003811102322293
A20-B178,-0.0232196015421913,-0.0020319413407062,
A96-B87,-0.0036618537685597,-0.0259599250582608,
A81-B12,-0.012839247745099,-0.0205964501892777,
A81-B42,-0.012839247745099,-0.0205964501892777,
A196-B123,-0.0108617259972987,-0.0266799361846178,
A20-B30,-0.0281167454439924,-0.0115490941564339,
A90-B154,-0.0143232736201961,-0.0278679160312502,
A152-B110,,-0.0205964501892777,-0.0231436508036286
A90-B59,-0.0143232736201961,-0.0446733284544884,
A81-B65,-0.0249210773122093,-0.0378119857355149,
A96-B79,-0.0219595555981792,-0.0448114267210641,
A78-B26,-0.0392491649653189,-0.0331264776137028,
A81-B40,-0.0306440821188853,-0.0798592815301817,
A93-B8,0.0680118380310437,,
A15-B84,0.0493541077035592,,
A162-B137,,0.0094959905210868,
A4-B117,,0.0094959905210868,
A63-B84,,0.0094959905210868,
A77-B8,,0.0094959905210868,
A78-B109,,0.0094959905210868,
A191-B84,0.0089448760702354,,
A90-B84,0.0033628806982519,,
A63-B75,,,-0.0006558962566685
A90-B18,-0.0014314077291686,,
A4-B87,,-0.0035797873322272,
A196-B85,-0.0036618537685597,,
A196-B86,-0.0036618537685597,,
A196-B91,,-0.0120878126733567,
A20-B84,-0.0138553382497038,,
A96-B75,-0.0138553382497038,,
A78-B142,,-0.0173573661297652,
A159-B49,-0.0307605434429101,,
