Sample,DNA_construct,Replicate,Candidate,verA,verB,n_obs_timepoints,transfers_observed,total_reads,logA_init,r_init_per_cycle,r_final_per_cycle,breakpoint_transfer,r_init_per_generation,r_final_per_generation,r_init_per_hour_measured,r_final_per_hour_measured,model_selected,direction,unconstrained_direction,breakpoint_testable,rel_rate_change,abs_rate_change,delta_bic,r2_selected,r2_constant,r2_two_phase,wrss_constant,wrss_two_phase,s_constant_per_cycle,freq_init,freq_final,estimable
B4_M_bcfr,4MXB,bcfr,A143-B84,A143,B84,3,"3,4,13",1662,5.4542,0.0991,0.0991,,0.0314,0.0314,0.00375,0.00375,constant,constant,none,False,,,,0.4801,0.4801,,301.74821,,0.0991,0.0963,0.11604,True
B4_M_bcfr,4MXB,bcfr,A15-B84,A15,B84,2,"3,13",2,-0.9955,0.1662,0.1662,,0.0494,0.0494,0.0063,0.0063,constant,constant,none,False,,,,0.8799,0.8799,,0.30865,,0.1662,0.00026,0.00026,True
B4_M_bcfr,4MXB,bcfr,A152-B100,A152,B100,3,"3,4,13",30,1.7768,-0.0273,-0.0273,,-0.0041,-0.0041,-0.00103,-0.00103,constant,constant,none,False,,,,0.0187,0.0187,,8.06491,,-0.0273,0.00231,0.00053,True
B4_M_bcfr,4MXB,bcfr,A152-B151,A152,B151,2,"3,4",30,1.8537,-0.2843,-0.2843,,-0.0866,-0.0866,-0.01077,-0.01077,constant,constant,none,False,,,,0.7285,0.7285,,1.5819,,-0.2843,0.00591,0.0,True
B4_M_bcfr,4MXB,bcfr,A153-B30,A153,B30,2,"3,4",91,2.8674,-0.1543,-0.1543,,-0.0293,-0.0293,-0.00584,-0.00584,constant,constant,none,False,,,,0.2648,0.2648,,4.49863,,-0.1543,0.01258,0.0,True
B4_M_bcfr,4MXB,bcfr,A153-B6,A153,B6,2,"3,4",66,2.557,-0.1734,-0.1734,,-0.0374,-0.0374,-0.00657,-0.00657,constant,constant,none,False,,,,0.3957,0.3957,,2.84044,,-0.1734,0.00924,0.0,True
B4_M_bcfr,4MXB,bcfr,A159-B24,A159,B24,2,"3,4",3,-0.3249,-0.0111,-0.0111,,-0.0037,-0.0037,-0.00042,-0.00042,constant,constant,none,False,,,,0.2157,0.2157,,0.0188,,-0.0111,0.00051,0.0,True
B4_M_bcfr,4MXB,bcfr,A159-B49,A159,B49,2,"3,4",6,0.3464,-0.0958,-0.0958,,-0.0308,-0.0308,-0.00363,-0.00363,constant,constant,none,False,,,,0.3283,0.3283,,0.86121,,-0.0958,0.00128,0.0,True
B4_M_bcfr,4MXB,bcfr,A159-B77,A159,B77,2,"3,4",18,1.2871,-0.1214,-0.1214,,-0.0299,-0.0299,-0.0046,-0.0046,constant,constant,none,False,,,,0.3709,0.3709,,1.21845,,-0.1214,0.00231,0.0,True
B4_M_bcfr,4MXB,bcfr,A186-B30,A186,B30,2,"3,4",8,0.5126,-0.0921,-0.0921,,-0.0272,-0.0272,-0.00349,-0.00349,constant,constant,none,False,,,,1.0,1.0,,0.0,,-0.0921,0.00128,0.0,True
