metric,value
dataset,amplicon_4MXB
bic_margin_strong_evidence,6.0
rel_rate_change_min,0.1
min_obs_for_breakpoint,4
min_seg_obs,2
increasing_only,True
n_transfers_sampled,3
n_estimable_trajectories,186
n_breakpoint_testable,0
n_non_testable,186
n_two_phase_adopted_increasing,0
n_held_constant_decrease_not_permitted,0
n_weak_constant,0
frac_testable_accelerating,
median_delta_bic_adopted,
median_r2_constant_testable,
median_r2_two_phase_testable,
median_acceleration_adopted_per_cycle,
median_r_init_adopted_per_cycle,
median_r_final_adopted_per_cycle,
