Sample,DNA_construct,Replicate,Microtiter_plate_well,Transfer,verA,verB,Candidate,Count,depth,freq
B4_p_bcfr,pyruvate,bcfr,B4,3,A101,B8,A101-B8,1,3951,0.0002531004808909137
B4_p_bcfr,pyruvate,bcfr,B4,3,A102,B159,A102-B159,1,3951,0.0002531004808909137
B4_p_bcfr,pyruvate,bcfr,B4,3,A114,B74,A114-B74,1,3951,0.0002531004808909137
B4_p_bcfr,pyruvate,bcfr,B4,3,A126,B151,A126-B151,1,3951,0.0002531004808909137
B4_p_bcfr,pyruvate,bcfr,B4,3,A140,B1,A140-B1,1,3951,0.0002531004808909137
B4_p_bcfr,pyruvate,bcfr,B4,3,A143,B145,A143-B145,6,3951,0.0015186028853454822
B4_p_bcfr,pyruvate,bcfr,B4,3,A143,B84,A143-B84,132,3951,0.033409263477600606
B4_p_bcfr,pyruvate,bcfr,B4,3,A152,B100,A152-B100,15,3951,0.0037965072133637054
B4_p_bcfr,pyruvate,bcfr,B4,3,A152,B110,A152-B110,18,3951,0.004555808656036446
B4_p_bcfr,pyruvate,bcfr,B4,3,A152,B151,A152-B151,41,3951,0.010377119716527461
B4_p_bcfr,pyruvate,bcfr,B4,3,A152,B38,A152-B38,1,3951,0.0002531004808909137
B4_p_bcfr,pyruvate,bcfr,B4,3,A152,B78,A152-B78,1,3951,0.0002531004808909137
B4_p_bcfr,pyruvate,bcfr,B4,3,A153,B105,A153-B105,1,3951,0.0002531004808909137
B4_p_bcfr,pyruvate,bcfr,B4,3,A153,B30,A153-B30,94,3951,0.023791445203745886
B4_p_bcfr,pyruvate,bcfr,B4,3,A153,B6,A153-B6,69,3951,0.017463933181473046
B4_p_bcfr,pyruvate,bcfr,B4,3,A153,B7,A153-B7,1,3951,0.0002531004808909137
B4_p_bcfr,pyruvate,bcfr,B4,3,A153,B75,A153-B75,1,3951,0.0002531004808909137
B4_p_bcfr,pyruvate,bcfr,B4,3,A159,B24,A159-B24,11,3951,0.0027841052898000505
B4_p_bcfr,pyruvate,bcfr,B4,3,A159,B49,A159-B49,6,3951,0.0015186028853454822
B4_p_bcfr,pyruvate,bcfr,B4,3,A159,B77,A159-B77,16,3951,0.004049607694254619
B4_p_bcfr,pyruvate,bcfr,B4,3,A162,B137,A162-B137,2,3951,0.0005062009617818274
B4_p_bcfr,pyruvate,bcfr,B4,3,A176,B101,A176-B101,5,3951,0.0012655024044545685
B4_p_bcfr,pyruvate,bcfr,B4,3,A176,B119,A176-B119,2,3951,0.0005062009617818274
B4_p_bcfr,pyruvate,bcfr,B4,3,A176,B120,A176-B120,1,3951,0.0002531004808909137
B4_p_bcfr,pyruvate,bcfr,B4,3,A176,B132,A176-B132,6,3951,0.0015186028853454822
B4_p_bcfr,pyruvate,bcfr,B4,3,A176,B26,A176-B26,4,3951,0.0010124019235636548
B4_p_bcfr,pyruvate,bcfr,B4,3,A176,B65,A176-B65,5,3951,0.0012655024044545685
B4_p_bcfr,pyruvate,bcfr,B4,3,A178,B79,A178-B79,1,3951,0.0002531004808909137
B4_p_bcfr,pyruvate,bcfr,B4,3,A18,B117,A18-B117,1,3951,0.0002531004808909137
B4_p_bcfr,pyruvate,bcfr,B4,3,A180,B47,A180-B47,1,3951,0.0002531004808909137
B4_p_bcfr,pyruvate,bcfr,B4,3,A186,B111,A186-B111,2,3951,0.0005062009617818274
B4_p_bcfr,pyruvate,bcfr,B4,3,A186,B143,A186-B143,3,3951,0.0007593014426727411
B4_p_bcfr,pyruvate,bcfr,B4,3,A186,B30,A186-B30,1,3951,0.0002531004808909137
B4_p_bcfr,pyruvate,bcfr,B4,3,A186,B78,A186-B78,1,3951,0.0002531004808909137
B4_p_bcfr,pyruvate,bcfr,B4,3,A186,B79,A186-B79,127,3951,0.03214376107314604
B4_p_bcfr,pyruvate,bcfr,B4,3,A188,B77,A188-B77,1,3951,0.0002531004808909137
B4_p_bcfr,pyruvate,bcfr,B4,3,A195,B117,A195-B117,1,3951,0.0002531004808909137
B4_p_bcfr,pyruvate,bcfr,B4,3,A196,B117,A196-B117,163,3951,0.04125537838521893
B4_p_bcfr,pyruvate,bcfr,B4,3,A196,B122,A196-B122,7,3951,0.001771703366236396
B4_p_bcfr,pyruvate,bcfr,B4,3,A196,B123,A196-B123,78,3951,0.019741837509491267
B4_p_bcfr,pyruvate,bcfr,B4,3,A196,B15,A196-B15,60,3951,0.015186028853454821
B4_p_bcfr,pyruvate,bcfr,B4,3,A196,B150,A196-B150,20,3951,0.005062009617818274
B4_p_bcfr,pyruvate,bcfr,B4,3,A196,B171,A196-B171,101,3951,0.025563148569982284
B4_p_bcfr,pyruvate,bcfr,B4,3,A196,B2,A196-B2,64,3951,0.016198430777018477
B4_p_bcfr,pyruvate,bcfr,B4,3,A196,B27,A196-B27,101,3951,0.025563148569982284
B4_p_bcfr,pyruvate,bcfr,B4,3,A196,B30,A196-B30,23,3951,0.005821311060491015
B4_p_bcfr,pyruvate,bcfr,B4,3,A196,B59,A196-B59,163,3951,0.04125537838521893
B4_p_bcfr,pyruvate,bcfr,B4,3,A196,B6,A196-B6,2,3951,0.0005062009617818274
B4_p_bcfr,pyruvate,bcfr,B4,3,A196,B75,A196-B75,1,3951,0.0002531004808909137
B4_p_bcfr,pyruvate,bcfr,B4,3,A196,B8,A196-B8,16,3951,0.004049607694254619
B4_p_bcfr,pyruvate,bcfr,B4,3,A196,B83,A196-B83,1,3951,0.0002531004808909137
B4_p_bcfr,pyruvate,bcfr,B4,3,A196,B87,A196-B87,298,3951,0.07542394330549228
B4_p_bcfr,pyruvate,bcfr,B4,3,A196,B91,A196-B91,1,3951,0.0002531004808909137
B4_p_bcfr,pyruvate,bcfr,B4,3,A20,B11,A20-B11,14,3951,0.003543406732472792
B4_p_bcfr,pyruvate,bcfr,B4,3,A20,B126,A20-B126,9,3951,0.002277904328018223
B4_p_bcfr,pyruvate,bcfr,B4,3,A20,B150,A20-B150,1,3951,0.0002531004808909137
B4_p_bcfr,pyruvate,bcfr,B4,3,A20,B161,A20-B161,1,3951,0.0002531004808909137
B4_p_bcfr,pyruvate,bcfr,B4,3,A20,B178,A20-B178,6,3951,0.0015186028853454822
B4_p_bcfr,pyruvate,bcfr,B4,3,A20,B30,A20-B30,42,3951,0.010630220197418374
B4_p_bcfr,pyruvate,bcfr,B4,3,A20,B60,A20-B60,2,3951,0.0005062009617818274
B4_p_bcfr,pyruvate,bcfr,B4,3,A20,B75,A20-B75,7,3951,0.001771703366236396
B4_p_bcfr,pyruvate,bcfr,B4,3,A20,B8,A20-B8,3,3951,0.0007593014426727411
B4_p_bcfr,pyruvate,bcfr,B4,3,A20,B84,A20-B84,13,3951,0.003290306251581878
B4_p_bcfr,pyruvate,bcfr,B4,3,A23,B70,A23-B70,1,3951,0.0002531004808909137
B4_p_bcfr,pyruvate,bcfr,B4,3,A23,B72,A23-B72,1,3951,0.0002531004808909137
B4_p_bcfr,pyruvate,bcfr,B4,3,A28,B70,A28-B70,3,3951,0.0007593014426727411
B4_p_bcfr,pyruvate,bcfr,B4,3,A33,B3,A33-B3,1,3951,0.0002531004808909137
B4_p_bcfr,pyruvate,bcfr,B4,3,A36,B170,A36-B170,1,3951,0.0002531004808909137
B4_p_bcfr,pyruvate,bcfr,B4,3,A4,B15,A4-B15,1,3951,0.0002531004808909137
B4_p_bcfr,pyruvate,bcfr,B4,3,A4,B59,A4-B59,1,3951,0.0002531004808909137
