Candidate,verA,verB,n_samples,bridged,beta_per_cycle,beta_se,beta_se_raw,beta_per_generation,I2_heterogeneity,samples
A81-B8,A81,B8,3,True,0.3714,0.0401,0.034,0.1116,0.455,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A186-B79,A186,B79,3,True,0.322,0.0318,0.027,0.0968,0.705,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A93-B8,A93,B8,2,True,0.292,0.0689,0.0585,0.0877,0.0,B4_p_bcfr;B4_p_fbcr
A138-B79,A138,B79,1,False,0.264,0.1076,0.0913,0.0793,,B4_p_bcfr
A78-B141,A78,B141,1,False,0.264,0.1076,0.0913,0.0793,,B4_p_bcfr
A65-B8,A65,B8,1,False,0.2628,0.0735,0.0624,0.079,,B4_p_bcfr
A101-B8,A101,B8,1,False,0.2628,0.0735,0.0624,0.079,,B4_p_bcfr
A152-B100,A152,B100,2,True,0.2135,0.0015,0.0013,0.0642,0.766,B4_p_bcfr;B4_p_fbcr
A196-B59,A196,B59,3,True,0.1988,0.4036,0.3426,0.0597,0.0,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A78-B155,A78,B155,1,False,0.124,0.0522,0.0443,0.0373,,B4_p_bcfr
A90-B165,A90,B165,1,False,0.124,0.0522,0.0443,0.0373,,B4_p_bcfr
A96-B127,A96,B127,1,False,0.124,0.0522,0.0443,0.0373,,B4_p_bcfr
A96-B47,A96,B47,1,False,0.124,0.0522,0.0443,0.0373,,B4_p_bcfr
A196-B83,A196,B83,1,False,0.124,0.0522,0.0443,0.0373,,B4_p_bcfr
A81-B15,A81,B15,2,True,0.1206,0.0364,0.0309,0.0363,0.0,B4_p_bcfr;B4_p_fbcr
A20-B117,A20,B117,1,False,0.1175,0.0507,0.043,0.0353,,B4_p_fbcr
A196-B75,A196,B75,2,True,0.1158,0.0482,0.0409,0.0348,0.0,B4_p_bcfr;B4_p_fbcr
A143-B84,A143,B84,3,True,0.1056,0.0575,0.0488,0.0317,0.377,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A196-B91,A196,B91,1,False,0.0999,0.1557,0.1322,0.03,,B4_p_bcfr
A176-B101,A176,B101,1,False,0.0935,0.154,0.1307,0.0281,,B4_p_fbcr
A132-B87,A132,B87,1,False,0.0935,0.154,0.1307,0.0281,,B4_p_fbcr
A20-B60,A20,B60,2,True,0.0926,0.0241,0.0205,0.0278,0.0,B4_p_bcfr;B4_p_fbcr
A63-B117,A63,B117,1,False,0.0854,0.0274,0.0232,0.0256,,B4_p_bcfr
A162-B137,A162,B137,1,False,0.0854,0.0274,0.0232,0.0256,,B4_p_bcfr
A196-B23,A196,B23,1,False,0.0686,0.0736,0.0625,0.0206,,B4_p_fbcr
A176-B119,A176,B119,1,False,0.0653,0.1586,0.1347,0.0196,,B4_p_bcfr
A78-B77,A78,B77,3,True,0.0529,0.0717,0.0609,0.0159,0.0,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A20-B8,A20,B8,1,False,0.0521,0.0844,0.0717,0.0157,,B4_p_bcfr
A90-B18,A90,B18,2,True,0.046,0.0119,0.0101,0.0138,0.0,B4_p_bcfr;B4_p_fbcr
A96-B87,A96,B87,2,True,0.0458,0.0123,0.0104,0.0138,0.723,B4_p_bcfr;B4_p_fbcr
A186-B143,A186,B143,2,True,0.0449,0.008,0.0068,0.0135,0.0,B4_p_bcfr;B4_p_fbcr
A176-B120,A176,B120,2,True,0.0423,0.0104,0.0089,0.0127,0.0,B4_p_bcfr;B4_p_fbcr
A153-B105,A153,B105,1,False,0.0421,0.0105,0.0089,0.0126,,B4_p_fbcr
A153-B75,A153,B75,1,False,0.0421,0.0105,0.0089,0.0126,,B4_p_fbcr
A78-B130,A78,B130,1,False,0.0384,0.0932,0.0791,0.0115,,B4_p_fbcr
A83-B137,A83,B137,1,False,0.0384,0.0932,0.0791,0.0115,,B4_p_fbcr
A90-B84,A90,B84,2,True,0.0351,0.0365,0.031,0.0105,0.0,B4_p_bcfr;B4_p_fbcr
A20-B126,A20,B126,3,True,0.0239,0.0098,0.0083,0.0072,0.945,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A196-B6,A196,B6,2,True,0.023,0.2917,0.2476,0.0069,0.0,B4_p_bcfr;B4_p_fbcr
A78-B151,A78,B151,3,True,0.0181,0.0056,0.0048,0.0054,0.733,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A186-B30,A186,B30,1,False,-0.0006,0.0636,0.054,-0.0002,,B4_p_fbcr
A78-B137,A78,B137,3,True,-0.0035,0.3135,0.2661,-0.001,0.0,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A81-B4,A81,B4,2,True,-0.0077,0.1125,0.0955,-0.0023,0.0,B4_p_bcfr;B4_p_fbcr
A81-B3,A81,B3,2,True,-0.0079,0.0405,0.0344,-0.0024,0.0,B4_p_bcfr;B4_p_fbcr
A81-B132,A81,B132,3,True,-0.0082,0.0402,0.0341,-0.0025,0.0,B4_p_bcfr;B4_p_fbcr;B4_p_fr
