lineage,genotype,context,transfer,copy_number,ln_cn
TFMN1.fba.pgi.2,fba.pgi,TFMN1 double-KO,1,0.596,-0.5175146119167874
TFMN1.fba.pgi.2,fba.pgi,TFMN1 double-KO,5,0.871,-0.13811330212963427
TFMN1.fba.pgi.2,fba.pgi,TFMN1 double-KO,7,0.891,-0.11541085151132773
TFMN1.fba.pgi.2,fba.pgi,TFMN1 double-KO,8,1.02,0.01980262729617973
TFMN1.fba.pgi.2,fba.pgi,TFMN1 double-KO,8,0.694,-0.36528331847533263
TFMN1.fba.pgi.2,fba.pgi,TFMN1 double-KO,8,0.702,-0.353821874956326
TFMN1.fba.pgi.2,fba.pgi,TFMN1 double-KO,20,0.767,-0.26526847761488087
TFMN1.fba.pgi.2,fba.pgi,TFMN1 double-KO,32,0.681,-0.3841929728326246
TFMN1.fba.pgi.2,fba.pgi,TFMN1 double-KO,32,1.182,0.1672079189839064
TFMN1.fba.pgi.2,fba.pgi,TFMN1 double-KO,32,1.135,0.126632650933366
TFMN1.fba.pgi.2,fba.pgi,TFMN1 double-KO,32,0.724,-0.3229638865964207
TFMN1.fba.pgi.2,fba.pgi,TFMN1 double-KO,32,0.63,-0.4620354595965587
TFMN1.fba.pgi.3,fba.pgi,TFMN1 double-KO,1,0.737,-0.3051673867928005
TFMN1.fba.pgi.3,fba.pgi,TFMN1 double-KO,5,0.832,-0.1839228381609285
TFMN1.fba.pgi.3,fba.pgi,TFMN1 double-KO,8,1.228,0.2053868297249507
TFMN1.fba.pgi.3,fba.pgi,TFMN1 double-KO,20,1.563,0.44660705143933954
TFMN1.fba.pgi.3,fba.pgi,TFMN1 double-KO,25,1.384,0.3249778571954777
TFMN1.fba.pgi.3,fba.pgi,TFMN1 double-KO,25,1.225,0.20294084399669038
TFMN1.fba.pgi.3,fba.pgi,TFMN1 double-KO,25,1.15,0.13976194237515863
TFMN1.fba.pgi.3,fba.pgi,TFMN1 double-KO,25,1.729,0.5475432067011535
TFMN1.fba.pgi.3,fba.pgi,TFMN1 double-KO,25,0.782,-0.24590053843682594
TFMN1.fba.pgi.3,fba.pgi,TFMN1 double-KO,32,1.134,0.12575120530556025
TFMN1.fba.pgi.4,fba.pgi,TFMN1 double-KO,1,0.623,-0.4732087601946839
TFMN1.fba.pgi.4,fba.pgi,TFMN1 double-KO,5,0.937,-0.0650719967437148
TFMN1.fba.pgi.4,fba.pgi,TFMN1 double-KO,8,0.827,-0.1899505839584458
TFMN1.fba.pgi.4,fba.pgi,TFMN1 double-KO,20,0.9,-0.10536051565782628
TFMN1.fba.pgi.4,fba.pgi,TFMN1 double-KO,25,0.759,-0.27575350158650713
TFMN1.fba.pgi.4,fba.pgi,TFMN1 double-KO,25,1.3,0.26236426446749106
TFMN1.fba.pgi.4,fba.pgi,TFMN1 double-KO,25,1.345,0.2963940130538024
TFMN1.fba.pgi.4,fba.pgi,TFMN1 double-KO,25,0.836,-0.17912666589743548
TFMN1.fba.pgi.4,fba.pgi,TFMN1 double-KO,25,0.85,-0.16251892949777494
TFMN1.fba.pgi.4,fba.pgi,TFMN1 double-KO,32,1.075,0.07232066157962608
TFMN1.fba.sohB.1,fba.sohB,TFMN1 double-KO,1,0.711,-0.3410828491788962
TFMN1.fba.sohB.1,fba.sohB,TFMN1 double-KO,5,0.802,-0.2206466711156225
TFMN1.fba.sohB.1,fba.sohB,TFMN1 double-KO,8,0.869,-0.140412153716745
TFMN1.fba.sohB.1,fba.sohB,TFMN1 double-KO,20,0.75,-0.2876820724517809
TFMN1.fba.sohB.1,fba.sohB,TFMN1 double-KO,32,0.717,-0.33267943838251673
TFMN1.fba.sohB.2,fba.sohB,TFMN1 double-KO,25,1.174,0.16041672140590466
TFMN1.fba.sohB.2,fba.sohB,TFMN1 double-KO,25,1.683,0.520577915208669
TFMN1.fba.sohB.2,fba.sohB,TFMN1 double-KO,25,1.525,0.4219944100593749
TFMN1.fba.sohB.2,fba.sohB,TFMN1 double-KO,25,0.794,-0.23067181773500128
TFMN1.fba.sohB.2,fba.sohB,TFMN1 double-KO,25,0.753,-0.2836900511822435
TFMN1.fba.sohB.3,fba.sohB,TFMN1 double-KO,1,0.705,-0.34955747616986843
TFMN1.fba.sohB.3,fba.sohB,TFMN1 double-KO,5,0.945,-0.05657035148839435
TFMN1.fba.sohB.3,fba.sohB,TFMN1 double-KO,8,1.183,0.16805358499624976
TFMN1.fba.sohB.3,fba.sohB,TFMN1 double-KO,20,0.826,-0.19116050546115904
TFMN1.fba.sohB.3,fba.sohB,TFMN1 double-KO,32,0.71,-0.342490308946776
TFMN1.fba.sohB.4,fba.sohB,TFMN1 double-KO,1,0.655,-0.4231200433468851
TFMN1.fba.sohB.4,fba.sohB,TFMN1 double-KO,5,0.736,-0.3065251602532608
TFMN1.fba.sohB.4,fba.sohB,TFMN1 double-KO,8,1.269,0.23822918873225055
TFMN1.fba.sohB.4,fba.sohB,TFMN1 double-KO,20,1.186,0.17058630057553367
TFMN1.fba.sohB.4,fba.sohB,TFMN1 double-KO,25,0.918,-0.08555788836164654
TFMN1.fba.sohB.4,fba.sohB,TFMN1 double-KO,25,0.602,-0.507497833673316
TFMN1.fba.sohB.4,fba.sohB,TFMN1 double-KO,25,0.69,-0.37106368139083207
TFMN1.fba.sohB.4,fba.sohB,TFMN1 double-KO,25,2.322,0.8424288832756998
TFMN1.fba.sohB.4,fba.sohB,TFMN1 double-KO,25,2.689,0.9891693772867276
TFMN1.fba.sohB.4,fba.sohB,TFMN1 double-KO,32,1.01,0.009950330853168092
TFMN1.fba.tpiA.1,fba.tpiA,TFMN1 double-KO,1,0.686,-0.3768776512562517
TFMN1.fba.tpiA.1,fba.tpiA,TFMN1 double-KO,5,0.646,-0.43695577519953516
TFMN1.fba.tpiA.1,fba.tpiA,TFMN1 double-KO,8,0.671,-0.3989861420104552
TFMN1.fba.tpiA.1,fba.tpiA,TFMN1 double-KO,20,0.712,-0.3396773675701613
TFMN1.fba.tpiA.1,fba.tpiA,TFMN1 double-KO,32,0.734,-0.3092462503676215
TFMN1.fba.tpiA.3,fba.tpiA,TFMN1 double-KO,1,0.704,-0.3509769228240947
TFMN1.fba.tpiA.3,fba.tpiA,TFMN1 double-KO,5,0.725,-0.32158362412746233
TFMN1.fba.tpiA.3,fba.tpiA,TFMN1 double-KO,8,0.763,-0.27049724769768
TFMN1.fba.tpiA.3,fba.tpiA,TFMN1 double-KO,20,0.759,-0.27575350158650713
TFMN1.fba.tpiA.3,fba.tpiA,TFMN1 double-KO,32,0.691,-0.3696154552144672
TFMN1.fba.tpiA.4,fba.tpiA,TFMN1 double-KO,1,0.74,-0.3011050927839216
TFMN1.fba.tpiA.4,fba.tpiA,TFMN1 double-KO,5,0.673,-0.3960099493374092
TFMN1.fba.tpiA.4,fba.tpiA,TFMN1 double-KO,8,0.78,-0.2484613592984996
TFMN1.fba.tpiA.4,fba.tpiA,TFMN1 double-KO,20,0.681,-0.3841929728326246
TFMN1.fba.tpiA.4,fba.tpiA,TFMN1 double-KO,32,0.71,-0.342490308946776
TFMN1.pgi.tpiA.1,pgi.tpiA,TFMN1 double-KO,1,0.685,-0.3783364407199117
TFMN1.pgi.tpiA.1,pgi.tpiA,TFMN1 double-KO,5,0.664,-0.40947312950570314
TFMN1.pgi.tpiA.1,pgi.tpiA,TFMN1 double-KO,11,0.717,-0.33267943838251673
TFMN1.pgi.tpiA.1,pgi.tpiA,TFMN1 double-KO,20,0.788,-0.2382571891242579
TFMN1.pgi.tpiA.1,pgi.tpiA,TFMN1 double-KO,32,0.645,-0.43850496218636453
TFMN1.pgi.tpiA.2,pgi.tpiA,TFMN1 double-KO,1,0.612,-0.491022996469811
TFMN1.pgi.tpiA.2,pgi.tpiA,TFMN1 double-KO,5,0.706,-0.34814004148889505
TFMN1.pgi.tpiA.2,pgi.tpiA,TFMN1 double-KO,11,0.659,-0.41703174447962976
TFMN1.pgi.tpiA.2,pgi.tpiA,TFMN1 double-KO,20,0.693,-0.3667252797922339
TFMN1.pgi.tpiA.2,pgi.tpiA,TFMN1 double-KO,32,0.698,-0.35953617621976464
TFMN1.pgi.tpiA.3,pgi.tpiA,TFMN1 double-KO,1,0.699,-0.3581045367483269
TFMN1.pgi.tpiA.3,pgi.tpiA,TFMN1 double-KO,5,0.632,-0.4588658848352796
TFMN1.pgi.tpiA.3,pgi.tpiA,TFMN1 double-KO,11,0.646,-0.43695577519953516
TFMN1.pgi.tpiA.3,pgi.tpiA,TFMN1 double-KO,20,0.62,-0.4780358009429998
TFMN1.pgi.tpiA.3,pgi.tpiA,TFMN1 double-KO,32,0.659,-0.41703174447962976
TFMN1.sohB.pgi.2,sohB.pgi,TFMN1 double-KO,1,0.65,-0.4307829160924542
TFMN1.sohB.pgi.2,sohB.pgi,TFMN1 double-KO,5,0.666,-0.40646560844174784
TFMN1.sohB.pgi.5,sohB.pgi,TFMN1 double-KO,1,0.699,-0.3581045367483269
TFMN1.sohB.pgi.5,sohB.pgi,TFMN1 double-KO,5,0.683,-0.3812604194113469
TFMN1.sohB.tpiA.2,sohB.tpiA,TFMN1 double-KO,1,0.704,-0.3509769228240947
TFMN1.sohB.tpiA.2,sohB.tpiA,TFMN1 double-KO,5,0.676,-0.3915622029391729
TFMN1.sohB.tpiA.2,sohB.tpiA,TFMN1 double-KO,11,0.628,-0.4652151125139384
TFMN1.sohB.tpiA.2,sohB.tpiA,TFMN1 double-KO,20,0.731,-0.3133418192323586
TFMN1.sohB.tpiA.2,sohB.tpiA,TFMN1 double-KO,32,0.783,-0.2446225829913339
TFMN1.sohB.tpiA.5,sohB.tpiA,TFMN1 double-KO,1,0.71,-0.342490308946776
TFMN1.sohB.tpiA.5,sohB.tpiA,TFMN1 double-KO,5,0.889,-0.11765804346823246
TFMN1.sohB.tpiA.5,sohB.tpiA,TFMN1 double-KO,11,1.819,0.5982868995359851
TFMN1.sohB.tpiA.5,sohB.tpiA,TFMN1 double-KO,20,1.768,0.5698489642154517
TFMN1.sohB.tpiA.5,sohB.tpiA,TFMN1 double-KO,32,1.36,0.3074846997479607
TFMN1.fba.1,fba,TFMN1 single-KO,1,0.716,-0.3340751120214915
TFMN1.fba.1,fba,TFMN1 single-KO,5,1.693,0.5265021031509983
TFMN1.fba.1,fba,TFMN1 single-KO,11,4.456,1.494251502624983
TFMN1.fba.1,fba,TFMN1 single-KO,20,4.645,1.5357913722658016
TFMN1.fba.1,fba,TFMN1 single-KO,32,4.456,1.494251502624983
TFMN1.fba.2,fba,TFMN1 single-KO,1,0.774,-0.2561834053924099
TFMN1.fba.2,fba,TFMN1 single-KO,5,0.837,-0.17793120849266178
TFMN1.fba.2,fba,TFMN1 single-KO,11,1.342,0.2941610385494901
TFMN1.fba.2,fba,TFMN1 single-KO,20,1.363,0.30968815271439554
TFMN1.fba.2,fba,TFMN1 single-KO,25,0.885,-0.12216763397420753
TFMN1.fba.2,fba,TFMN1 single-KO,25,1.233,0.20945022418220732
TFMN1.fba.2,fba,TFMN1 single-KO,25,1.172,0.1587116911548208
TFMN1.fba.2,fba,TFMN1 single-KO,25,0.842,-0.17197526473981037
TFMN1.fba.2,fba,TFMN1 single-KO,25,0.771,-0.26006690541880756
TFMN1.fba.2,fba,TFMN1 single-KO,32,0.748,-0.2903523010076598
TFMN1.fba.3,fba,TFMN1 single-KO,25,1.107,0.10165365372649982
TFMN1.fba.3,fba,TFMN1 single-KO,25,0.832,-0.1839228381609285
TFMN1.fba.3,fba,TFMN1 single-KO,25,0.762,-0.2718087232954908
TFMN1.fba.3,fba,TFMN1 single-KO,25,1.685,0.521765563804325
TFMN1.fba.3,fba,TFMN1 single-KO,25,1.717,0.5405785819153385
TFMN1.fba.5,fba,TFMN1 single-KO,1,0.67,-0.40047756659712525
TFMN1.fba.5,fba,TFMN1 single-KO,5,1.145,0.13540463700620298
TFMN1.fba.5,fba,TFMN1 single-KO,6,1.146,0.13627761829254775
TFMN1.fba.5,fba,TFMN1 single-KO,7,1.074,0.071389996086673
TFMN1.fba.5,fba,TFMN1 single-KO,11,1.054,0.05259245011917063
TFMN1.fba.5,fba,TFMN1 single-KO,20,1.559,0.44404459007563946
TFMN1.fba.5,fba,TFMN1 single-KO,32,1.721,0.5429055172294024
TFMN1.pgi.1,pgi,TFMN1 single-KO,1,0.685,-0.3783364407199117
TFMN1.pgi.1,pgi,TFMN1 single-KO,5,1.558,0.4434029474485566
TFMN1.pgi.1,pgi,TFMN1 single-KO,8,2.428,0.8870678731972518
TFMN1.pgi.1,pgi,TFMN1 single-KO,9,2.277,0.8228587870816026
TFMN1.pgi.1,pgi,TFMN1 single-KO,10,2.305,0.835080676448612
TFMN1.pgi.1,pgi,TFMN1 single-KO,11,2.328,0.8450095298691913
TFMN1.pgi.1,pgi,TFMN1 single-KO,11,3.092,1.1288181307251755
TFMN1.pgi.1,pgi,TFMN1 single-KO,11,3.168,1.1531004739521795
TFMN1.pgi.1,pgi,TFMN1 single-KO,18,2.8,1.0296194171811581
TFMN1.pgi.1,pgi,TFMN1 single-KO,32,10.616,2.3623622970299065
TFMN1.pgi.1,pgi,TFMN1 single-KO,32,9.697,2.271816559322409
TFMN1.pgi.1,pgi,TFMN1 single-KO,32,7.827,2.057579294822701
TFMN1.pgi.2,pgi,TFMN1 single-KO,1,0.72,-0.3285040669720361
TFMN1.pgi.2,pgi,TFMN1 single-KO,5,1.022,0.02176149178151271
TFMN1.pgi.2,pgi,TFMN1 single-KO,18,1.617,0.48057258059496977
TFMN1.pgi.2,pgi,TFMN1 single-KO,18,1.829,0.6037693694087286
TFMN1.pgi.2,pgi,TFMN1 single-KO,18,2.215,0.7952524034970989
TFMN1.pgi.2,pgi,TFMN1 single-KO,32,2.213,0.7943490610689127
TFMN1.pgi.2,pgi,TFMN1 single-KO,32,1.857,0.6189622823705687
TFMN1.pgi.2,pgi,TFMN1 single-KO,32,1.9,0.6418538861723947
TFMN1.pgi.3,pgi,TFMN1 single-KO,1,0.758,-0.2770718933397654
TFMN1.pgi.3,pgi,TFMN1 single-KO,5,0.872,-0.13696585507315742
TFMN1.sohB.1,sohB,TFMN1 single-KO,1,0.704,-0.3509769228240947
TFMN1.sohB.1,sohB,TFMN1 single-KO,5,0.972,-0.028399474521698
TFMN1.sohB.1,sohB,TFMN1 single-KO,6,1.085,0.08157998699242285
TFMN1.sohB.1,sohB,TFMN1 single-KO,6,1.968,0.6770177986300616
TFMN1.sohB.1,sohB,TFMN1 single-KO,6,1.948,0.6668032052203433
TFMN1.sohB.4,sohB,TFMN1 single-KO,1,0.668,-0.40346710544549125
TFMN1.sohB.4,sohB,TFMN1 single-KO,5,1.003,0.002995508979798371
TFMN1.sohB.4,sohB,TFMN1 single-KO,13,2.575,0.9458495341156995
TFMN1.sohB.4,sohB,TFMN1 single-KO,14,2.737,1.006862430058542
TFMN1.sohB.4,sohB,TFMN1 single-KO,14,2.894,1.0626396282092923
TFMN1.sohB.4,sohB,TFMN1 single-KO,14,2.742,1.0086875811401226
TFMN1.sohB.4,sohB,TFMN1 single-KO,15,2.566,0.9423482661934446
TFMN1.sohB.4,sohB,TFMN1 single-KO,18,2.637,0.9696419073711496
TFMN1.sohB.4,sohB,TFMN1 single-KO,25,2.164,0.7719583609842352
TFMN1.sohB.4,sohB,TFMN1 single-KO,25,2.62,0.9631743177730056
TFMN1.sohB.4,sohB,TFMN1 single-KO,25,2.091,0.7376424204464966
TFMN1.sohB.4,sohB,TFMN1 single-KO,25,1.644,0.4971322966339881
TFMN1.sohB.4,sohB,TFMN1 single-KO,25,2.867,1.0532661869012327
TFMN1.sohB.4,sohB,TFMN1 single-KO,32,2.451,0.8964961045459755
TFMN1.sohB.4,sohB,TFMN1 single-KO,32,2.352,0.8552660300363805
TFMN1.sohB.4,sohB,TFMN1 single-KO,32,1.843,0.6113946786876863
TFMN1.sohB.5,sohB,TFMN1 single-KO,1,0.701,-0.355247391947547
TFMN1.sohB.5,sohB,TFMN1 single-KO,5,0.931,-0.07149600170506992
TFMN1.sohB.5,sohB,TFMN1 single-KO,18,1.531,0.42592111667554666
TFMN1.sohB.5,sohB,TFMN1 single-KO,18,2.022,0.7040871205982796
TFMN1.sohB.5,sohB,TFMN1 single-KO,18,1.853,0.6168059473032227
TFMN1.sohB.5,sohB,TFMN1 single-KO,25,1.425,0.3541718137206139
TFMN1.sohB.5,sohB,TFMN1 single-KO,25,2.001,0.6936470556015963
TFMN1.sohB.5,sohB,TFMN1 single-KO,25,1.848,0.6141039732194925
TFMN1.sohB.5,sohB,TFMN1 single-KO,25,1.842,0.6108519378331152
TFMN1.sohB.5,sohB,TFMN1 single-KO,25,1.974,0.6800619410112898
TFMN1.sohB.5,sohB,TFMN1 single-KO,32,1.635,0.4916428043492167
TFMN1.sohB.5,sohB,TFMN1 single-KO,32,1.752,0.5607579925141997
TFMN1.sohB.5,sohB,TFMN1 single-KO,32,1.788,0.5810976767513224
TFMN1.tpiA.2,tpiA,TFMN1 single-KO,1,0.681,-0.3841929728326246
TFMN1.tpiA.2,tpiA,TFMN1 single-KO,5,0.717,-0.33267943838251673
TFMN1.tpiA.2,tpiA,TFMN1 single-KO,11,0.743,-0.2970592342643779
TFMN1.tpiA.2,tpiA,TFMN1 single-KO,20,0.759,-0.27575350158650713
TFMN1.tpiA.2,tpiA,TFMN1 single-KO,32,0.785,-0.24207156119972859
TFMN1.tpiA.5,tpiA,TFMN1 single-KO,1,0.74,-0.3011050927839216
TFMN1.tpiA.5,tpiA,TFMN1 single-KO,5,0.757,-0.2783920255446883
TFMN1.tpiA.5,tpiA,TFMN1 single-KO,11,0.941,-0.060812139396757475
TFMN1.tpiA.5,tpiA,TFMN1 single-KO,20,0.773,-0.25747623039471507
TFMN1.tpiA.5,tpiA,TFMN1 single-KO,32,0.649,-0.43232256227804705
TFMN4.exp1.combo10MUT.1,combo10MUT,TFMN4 exp1,8,0.696,-0.3624056186477175
TFMN4.exp1.combo10MUT.1,combo10MUT,TFMN4 exp1,9,0.805,-0.21691300156357363
TFMN4.exp1.combo10MUT.1,combo10MUT,TFMN4 exp1,30,0.92,-0.08338160893905101
TFMN4.exp1.combo10MUT.2,combo10MUT,TFMN4 exp1,8,0.815,-0.2045671657412744
TFMN4.exp1.combo10MUT.2,combo10MUT,TFMN4 exp1,9,0.755,-0.28103752973311236
TFMN4.exp1.combo10MUT.2,combo10MUT,TFMN4 exp1,30,0.832,-0.1839228381609285
TFMN4.exp1.combo10MUT.3,combo10MUT,TFMN4 exp1,8,0.798,-0.22564668153232822
TFMN4.exp1.combo10MUT.3,combo10MUT,TFMN4 exp1,9,0.812,-0.20825493882045903
TFMN4.exp1.combo10MUT.3,combo10MUT,TFMN4 exp1,30,0.781,-0.24718012914245105
TFMN4.exp1.combo10MUT.4,combo10MUT,TFMN4 exp1,8,0.867,-0.1427163022015952
TFMN4.exp1.combo10MUT.4,combo10MUT,TFMN4 exp1,9,0.817,-0.20211618412213422
TFMN4.exp1.combo10MUT.4,combo10MUT,TFMN4 exp1,30,0.946,-0.05551270993025883
TFMN4.exp1.combo10MUT.5,combo10MUT,TFMN4 exp1,8,0.806,-0.2156715364755087
TFMN4.exp1.combo10MUT.5,combo10MUT,TFMN4 exp1,9,0.818,-0.20089294237939007
TFMN4.exp1.combo10MUT.5,combo10MUT,TFMN4 exp1,30,0.821,-0.1972321695297089
TFMN4.exp1.combo10WT.1,combo10WT,TFMN4 exp1,9,1.507,0.4101209196443583
TFMN4.exp1.combo10WT.1,combo10WT,TFMN4 exp1,30,2.629,0.9666035457477442
TFMN4.exp1.combo10WT.2,combo10WT,TFMN4 exp1,9,2.734,1.0057657383017578
TFMN4.exp1.combo10WT.2,combo10WT,TFMN4 exp1,30,4.714,1.5505368045139394
TFMN4.exp1.combo10WT.3,combo10WT,TFMN4 exp1,8,1.08,0.0769610411361284
TFMN4.exp1.combo10WT.3,combo10WT,TFMN4 exp1,9,1.426,0.35487332199210414
TFMN4.exp1.combo10WT.3,combo10WT,TFMN4 exp1,30,3.718,1.3131858892992523
TFMN4.exp1.combo10WT.4,combo10WT,TFMN4 exp1,8,1.129,0.12133228516752496
TFMN4.exp1.combo10WT.4,combo10WT,TFMN4 exp1,9,1.775,0.5738004229273791
TFMN4.exp1.combo10WT.4,combo10WT,TFMN4 exp1,30,3.81,1.3376291891386096
TFMN4.exp1.combo10WT.5,combo10WT,TFMN4 exp1,8,1.073,0.07045846364856137
TFMN4.exp1.combo10WT.5,combo10WT,TFMN4 exp1,9,1.435,0.3611648492115845
