lineage,context,deployed_model,unconstrained_direction,r2_1var,r2_4var_deployed,r2_4var_form,rmse_1var,rmse_4var_deployed,rmse_form_insample,rse_dofadj_1var,rse_dofadj_4var_deployed,bic_prefers_form,bic_prefers_increasing,loto_rmse_1var,loto_rmse_form,loto_folds,n_transfers
TFMN1.fba.1,TFMN1 single-KO,constant,decelerating,0.6054,0.6054,0.9959,0.467,0.467,0.0476,0.6029,0.6029,True,False,0.9443,0.3353,5,5
TFMN1.fba.2,TFMN1 single-KO,constant,decelerating,0.0011,0.0011,0.814,0.2452,0.2452,0.1058,0.3004,0.3004,True,False,0.387,0.2415,6,6
TFMN1.fba.5,TFMN1 single-KO,constant,decelerating,0.7362,0.7362,0.9389,0.1452,0.1452,0.0699,0.1718,0.1718,True,False,0.2321,0.2964,7,7
TFMN1.fba.pgi.2,TFMN1 double-KO,constant,decelerating,0.1067,0.1067,0.8676,0.1267,0.1267,0.0488,0.1552,0.1552,True,False,0.1835,0.2042,6,6
TFMN1.fba.pgi.3,TFMN1 double-KO,constant,decelerating,0.4088,0.4088,0.8406,0.1943,0.1943,0.1009,0.238,0.238,True,False,0.3002,0.2353,6,6
TFMN1.fba.pgi.4,TFMN1 double-KO,constant,decelerating,0.6319,0.6319,0.9137,0.1054,0.1054,0.051,0.1291,0.1291,True,False,0.1665,0.2717,6,6
TFMN1.fba.sohB.1,TFMN1 double-KO,constant,decelerating,0.125,0.125,0.9327,0.0705,0.0705,0.0195,0.091,0.091,True,False,0.1154,0.0694,5,5
TFMN1.fba.sohB.3,TFMN1 double-KO,constant,decelerating,0.1246,0.1246,0.9607,0.1816,0.1816,0.0385,0.2344,0.2344,True,False,0.3049,0.1532,5,5
TFMN1.fba.sohB.4,TFMN1 double-KO,constant,decelerating,0.3484,0.3484,0.8499,0.2047,0.2047,0.0982,0.2507,0.2507,True,False,0.3183,0.3468,6,6
TFMN1.fba.tpiA.1,TFMN1 double-KO,two_phase,accelerating,0.7105,0.9387,0.9387,0.024,0.011,0.011,0.031,0.0175,True,True,0.0381,0.0614,5,5
TFMN1.fba.tpiA.3,TFMN1 double-KO,constant,decelerating,0.0495,0.0495,0.7772,0.0385,0.0385,0.0186,0.0497,0.0497,True,False,0.0844,0.0564,5,5
TFMN1.fba.tpiA.4,TFMN1 double-KO,constant,accelerating,0.0737,0.0737,0.147,0.0524,0.0524,0.0503,0.0677,0.0677,False,False,0.0777,0.1538,5,5
TFMN1.noDNA.2,control (noDNA),constant,decelerating,0.4282,0.4282,0.8598,0.3195,0.3195,0.1582,0.378,0.378,True,False,0.6176,0.437,7,7
TFMN1.pgi.1,TFMN1 single-KO,constant,decelerating,0.867,0.867,0.9595,0.2463,0.2463,0.1359,0.2844,0.2844,True,False,0.3368,0.4924,8,8
TFMN1.pgi.2,TFMN1 single-KO,constant,decelerating,0.8445,0.8445,0.9866,0.167,0.167,0.049,0.2362,0.2362,True,False,0.4352,0.3448,4,4
TFMN1.pgi.tpiA.1,TFMN1 double-KO,constant,decelerating,0.0004,0.0004,0.9068,0.07,0.07,0.0214,0.0904,0.0904,True,False,0.1547,0.1699,5,5
TFMN1.pgi.tpiA.2,TFMN1 double-KO,constant,decelerating,0.3345,0.3345,0.8069,0.0431,0.0431,0.0232,0.0556,0.0556,True,False,0.0733,0.1012,5,5
TFMN1.pgi.tpiA.3,TFMN1 double-KO,two_phase,accelerating,0.0952,0.8081,0.8081,0.0393,0.0181,0.0181,0.0507,0.0286,True,True,0.0826,0.0629,5,5
TFMN1.sohB.4,TFMN1 single-KO,constant,decelerating,0.4562,0.4562,0.9952,0.3674,0.3674,0.0345,0.4243,0.4243,True,False,0.5629,0.0748,8,8
TFMN1.sohB.5,TFMN1 single-KO,constant,decelerating,0.8244,0.8244,0.9965,0.1658,0.1658,0.0236,0.214,0.214,True,False,0.2932,0.119,5,5
TFMN1.sohB.tpiA.2,TFMN1 double-KO,two_phase,accelerating,0.4777,0.9203,0.9203,0.0535,0.0209,0.0209,0.0691,0.0331,True,True,0.0871,0.0797,5,5
TFMN1.sohB.tpiA.5,TFMN1 double-KO,constant,decelerating,0.3814,0.3814,0.9648,0.2947,0.2947,0.0703,0.3805,0.3805,True,False,0.6038,0.2824,5,5
TFMN1.tpiA.2,TFMN1 single-KO,constant,decelerating,0.8906,0.8906,0.9875,0.0161,0.0161,0.0054,0.0208,0.0208,True,False,0.0312,0.0171,5,5
TFMN1.tpiA.5,TFMN1 single-KO,constant,decelerating,0.2029,0.2029,0.9436,0.1066,0.1066,0.0283,0.1376,0.1376,True,False,0.1944,0.1161,5,5
