Sample,assay,Microtiter_plate_well,Transfer,verA,verB,Candidate,Count,depth,freq
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A143,B84,A143-B84,3,190,0.0157894736842105
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A152,B110,A152-B110,3,190,0.0157894736842105
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A152,B151,A152-B151,3,190,0.0157894736842105
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A153,B30,A153-B30,2,190,0.0105263157894736
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A153,B6,A153-B6,2,190,0.0105263157894736
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A176,B120,A176-B120,3,190,0.0157894736842105
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A186,B79,A186-B79,4,190,0.0210526315789473
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A196,B117,A196-B117,13,190,0.0684210526315789
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A196,B122,A196-B122,4,190,0.0210526315789473
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A196,B123,A196-B123,2,190,0.0105263157894736
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A196,B150,A196-B150,1,190,0.0052631578947368
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A196,B171,A196-B171,4,190,0.0210526315789473
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A196,B2,A196-B2,2,190,0.0105263157894736
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A196,B27,A196-B27,3,190,0.0157894736842105
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A196,B30,A196-B30,2,190,0.0105263157894736
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A196,B59,A196-B59,1,190,0.0052631578947368
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A196,B87,A196-B87,10,190,0.0526315789473684
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A20,B126,A20-B126,1,190,0.0052631578947368
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A20,B60,A20-B60,1,190,0.0052631578947368
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A63,B117,A63-B117,2,190,0.0105263157894736
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A63,B147,A63-B147,2,190,0.0105263157894736
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A63,B151,A63-B151,2,190,0.0105263157894736
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A63,B75,A63-B75,1,190,0.0052631578947368
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A78,B103,A78-B103,2,190,0.0105263157894736
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A78,B137,A78-B137,8,190,0.0421052631578947
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A78,B150,A78-B150,1,190,0.0052631578947368
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A78,B151,A78-B151,11,190,0.0578947368421052
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A78,B171,A78-B171,5,190,0.0263157894736842
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A78,B70,A78-B70,3,190,0.0157894736842105
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A78,B77,A78-B77,7,190,0.0368421052631578
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A78,B84,A78-B84,7,190,0.0368421052631578
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A81,B132,A81-B132,5,190,0.0263157894736842
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A81,B140,A81-B140,2,190,0.0105263157894736
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A81,B171,A81-B171,6,190,0.031578947368421
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A81,B18,A81-B18,2,190,0.0105263157894736
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A81,B27,A81-B27,4,190,0.0210526315789473
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A81,B3,A81-B3,1,190,0.0052631578947368
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A81,B40,A81-B40,3,190,0.0157894736842105
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A81,B75,A81-B75,8,190,0.0421052631578947
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A81,B8,A81-B8,24,190,0.1263157894736842
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A81,B84,A81-B84,1,190,0.0052631578947368
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A83,B50,A83-B50,1,190,0.0052631578947368
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A90,B120,A90-B120,5,190,0.0263157894736842
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A90,B151,A90-B151,5,190,0.0263157894736842
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A90,B155,A90-B155,2,190,0.0105263157894736
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A90,B59,A90-B59,1,190,0.0052631578947368
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A96,B79,A96-B79,2,190,0.0105263157894736
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,3,A96,B87,A96-B87,3,190,0.0157894736842105
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,4,A143,B84,A143-B84,10,117,0.0854700854700854
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,4,A153,B30,A153-B30,1,117,0.0085470085470085
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,4,A153,B6,A153-B6,4,117,0.0341880341880341
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,4,A186,B78,A186-B78,1,117,0.0085470085470085
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,4,A186,B79,A186-B79,1,117,0.0085470085470085
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,4,A196,B117,A196-B117,9,117,0.0769230769230769
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,4,A196,B151,A196-B151,1,117,0.0085470085470085
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,4,A196,B171,A196-B171,2,117,0.017094017094017
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,4,A196,B2,A196-B2,1,117,0.0085470085470085
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,4,A196,B27,A196-B27,3,117,0.0256410256410256
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,4,A196,B59,A196-B59,6,117,0.0512820512820512
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,4,A196,B8,A196-B8,2,117,0.017094017094017
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,4,A196,B87,A196-B87,3,117,0.0256410256410256
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,4,A78,B137,A78-B137,3,117,0.0256410256410256
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,4,A78,B151,A78-B151,9,117,0.0769230769230769
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,4,A78,B171,A78-B171,1,117,0.0085470085470085
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,4,A78,B70,A78-B70,2,117,0.017094017094017
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,4,A78,B77,A78-B77,15,117,0.1282051282051282
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,4,A81,B132,A81-B132,3,117,0.0256410256410256
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,4,A81,B137,A81-B137,1,117,0.0085470085470085
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,4,A81,B171,A81-B171,1,117,0.0085470085470085
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,4,A81,B18,A81-B18,2,117,0.017094017094017
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,4,A81,B51,A81-B51,3,117,0.0256410256410256
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,4,A81,B8,A81-B8,29,117,0.2478632478632478
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,4,A81,B84,A81-B84,1,117,0.0085470085470085
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,4,A90,B155,A90-B155,2,117,0.017094017094017
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,4,A96,B47,A96-B47,1,117,0.0085470085470085
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,6,A143,B84,A143-B84,16,191,0.0837696335078534
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,6,A196,B117,A196-B117,11,191,0.0575916230366492
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,6,A196,B171,A196-B171,4,191,0.0209424083769633
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,6,A196,B2,A196-B2,8,191,0.0418848167539267
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,6,A196,B27,A196-B27,2,191,0.0104712041884816
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,6,A196,B59,A196-B59,3,191,0.0157068062827225
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,6,A196,B87,A196-B87,9,191,0.0471204188481675
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,6,A63,B145,A63-B145,1,191,0.0052356020942408
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,6,A78,B137,A78-B137,1,191,0.0052356020942408
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,6,A78,B151,A78-B151,3,191,0.0157068062827225
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,6,A78,B77,A78-B77,13,191,0.0680628272251308
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,6,A79,B77,A79-B77,1,191,0.0052356020942408
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,6,A81,B132,A81-B132,2,191,0.0104712041884816
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,6,A81,B27,A81-B27,1,191,0.0052356020942408
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,6,A81,B8,A81-B8,114,191,0.5968586387434555
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,6,A90,B151,A90-B151,1,191,0.0052356020942408
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,6,A90,B155,A90-B155,1,191,0.0052356020942408
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,13,A138,B79,A138-B79,1,199,0.0050251256281407
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,13,A143,B84,A143-B84,3,199,0.0150753768844221
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,WGS,B4,13,A186,B78,A186-B78,1,199,0.0050251256281407
