Candidate,verA,verB,r_joint_per_h,se_joint,se_wgs_only,se_ampl_only,se_reduction_ratio,ESS_fold_vs_wgs,r_wgs_only,r_ampl_only,evidence_tier,in_B4,se_heterogeneity_loso,r_sensitivity_to_b_amp,se_combined
A143-B84,A143,B84,0.3662,0.0046,0.0096,0.0088,1.912,4.35,0.3389,0.3899,both-deep,True,0.0039,0.0039,0.006
A186-B79,A186,B79,0.4225,0.0049,0.0095,0.009,1.85,3.8,0.3596,0.4482,both-deep,True,0.0042,0.0022,0.0065
A81-B132,A81,B132,0.3516,0.005,0.0121,0.0091,1.806,5.79,0.318,0.3767,both-deep,True,0.0036,0.0022,0.0062
A78-B77,A78,B77,0.3152,0.0053,0.0106,0.0092,1.758,4.11,0.3288,0.3363,both-deep,True,0.0037,0.0057,0.0065
A81-B12,A81,B12,0.3445,0.0125,0.0214,0.0413,1.711,2.93,0.386,0.3222,both-deep,True,0.0133,0.0068,0.0183
A78-B151,A78,B151,0.3277,0.0056,0.0177,0.0094,1.69,10.11,0.3011,0.351,both-deep,True,0.0039,0.0064,0.0068
A196-B117,A196,B117,0.3096,0.0059,0.0133,0.0097,1.65,5.17,0.3105,0.3305,both-deep,True,0.0037,0.0079,0.007
A81-B8,A81,B8,0.379,0.0046,0.0071,0.0088,1.534,2.35,0.3736,0.4025,both-deep,True,0.0039,0.0039,0.006
A196-B59,A196,B59,0.3099,0.0068,0.021,0.0102,1.514,9.61,0.3165,0.332,both-deep,True,0.0038,0.0078,0.0078
A186-B78,A186,B78,0.3714,0.0144,0.0217,0.0241,1.514,2.29,0.3468,0.4073,both-deep,True,0.0058,0.1037,0.0155
A196-B171,A196,B171,0.2931,0.0081,0.0127,0.0122,1.509,2.47,0.2836,0.3253,both-deep,True,0.0023,0.0247,0.0084
A152-B100,A152,B100,0.3432,0.0069,,0.0102,1.471,,,0.3669,amplicon-B4-only,True,0.0039,0.0132,0.0079
A81-B3,A81,B3,0.369,0.0076,0.0711,0.0107,1.412,88.28,0.2632,0.3937,both-deep,True,0.004,0.0056,0.0086
A196-B27,A196,B27,0.2785,0.0094,0.0176,0.013,1.387,3.51,0.2794,0.3012,both-deep,True,0.003,0.029,0.0099
A196-B15,A196,B15,0.2511,0.0138,0.019,0.02,1.384,1.92,0.2541,0.2722,both-deep,True,0.0055,0.0578,0.0149
A81-B75,A81,B75,0.2448,0.0173,0.0263,0.0237,1.369,2.3,0.2065,0.3038,both-deep,True,0.0074,0.0532,0.0188
A196-B87,A196,B87,0.3064,0.0053,0.0069,0.0096,1.306,1.7,0.3133,0.3285,both-deep,True,0.0035,0.0137,0.0064
A96-B140,A96,B140,0.2643,0.0332,0.043,0.0447,1.297,1.68,0.2457,0.321,both-deep,True,0.0114,0.0458,0.0351
A152-B151,A152,B151,0.2097,0.0226,0.0362,0.0288,1.276,2.56,0.1898,0.2538,both-deep,True,0.0031,0.0964,0.0228
A90-B154,A90,B154,0.1907,0.0497,0.0628,0.0606,1.221,1.6,0.1859,0.2538,both-deep,True,0.0153,0.0901,0.052
A65-B8,A65,B8,0.3761,0.0109,,0.0132,1.209,,,0.3993,amplicon-B4-only,True,0.0038,0.0214,0.0115
A78-B70,A78,B70,0.2525,0.0296,0.041,0.035,1.183,1.92,0.2506,0.2735,both-deep,True,0.0029,0.0325,0.0297
A196-B123,A196,B123,0.27,0.0114,0.0134,0.0167,1.178,1.39,0.2569,0.347,both-deep,True,0.0129,0.0402,0.0172
A78-B84,A78,B84,0.2894,0.0113,0.0426,0.0133,1.178,14.17,0.1928,0.3213,both-deep,True,0.0045,0.0245,0.0122
A78-B73,A78,B73,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A132-B87,A132,B87,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A143-B100,A143,B100,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A193-B77,A193,B77,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A93-B40,A93,B40,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A196-B39,A196,B39,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A176-B65,A176,B65,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A78-B80,A78,B80,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A151-B19,A151,B19,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A82-B8,A82,B8,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A68-B87,A68,B87,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A78-B89,A78,B89,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A176-B104,A176,B104,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A78-B68,A78,B68,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A78-B65,A78,B65,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A143-B148,A143,B148,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A145-B8,A145,B8,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A81-B136,A81,B136,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A1-B87,A1,B87,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A81-B16,A81,B16,0.3248,0.0599,,0.0705,1.177,,,0.3364,amplicon-B4-only,True,0.0023,0.1116,0.0599
A153-B6,A153,B6,0.3288,0.0057,0.0067,0.0146,1.175,1.38,0.343,0.3239,both-deep,True,0.0124,0.0112,0.0136
A93-B8,A93,B8,0.3751,0.0122,,0.0143,1.167,,,0.3982,amplicon-B4-only,True,0.0038,0.0238,0.0128
A196-B8,A196,B8,0.3115,0.0177,0.0495,0.0205,1.16,7.83,0.2957,0.3327,both-deep,True,0.0037,0.0,0.0181
A138-B79,A138,B79,0.3816,0.0223,0.0257,,1.156,1.34,0.377,,WGS-only,False,0.0035,0.1937,0.0226
A196-B2,A196,B2,0.3107,0.0072,0.0083,0.0162,1.153,1.33,0.3219,0.313,both-deep,True,0.0037,0.0233,0.0081
A81-B27,A81,B27,0.293,0.0155,0.0439,0.0178,1.151,8.06,0.2693,0.3154,both-deep,True,0.004,0.0354,0.016
A81-B40,A81,B40,0.247,0.0248,0.047,0.0285,1.15,3.58,0.194,0.2951,both-deep,True,0.0069,0.0558,0.0257
A90-B120,A90,B120,0.2668,0.0203,0.0388,0.0233,1.149,3.67,0.2572,0.2883,both-deep,True,0.0047,0.0478,0.0208
A81-B18,A81,B18,0.2552,0.0208,0.0391,0.0239,1.148,3.52,0.2611,0.2746,both-deep,True,0.0033,0.0676,0.0211
A78-B109,A78,B109,0.3211,0.0467,,0.0535,1.146,,,0.3379,amplicon-B4-only,True,0.003,0.0541,0.0468
A63-B75,A63,B75,0.225,0.0432,0.0495,0.0591,1.145,1.31,0.2083,0.325,both-deep,True,0.0071,0.0409,0.0438
